,Volume,Fear_index,SPY_index,FEDFUNDS,Target,MA,RSI,BB_UPPER,BB_MIDDLE,BB_LOWER
2014-05-28,315481600.0,11.68,191.380005,0.09,23.029285,21.4086071,77.98793132480131,22.226638278590695,21.4086071,20.590575921409307
2014-05-29,376474000.0,11.57,192.369995,0.09,23.119642,21.4894821,82.673633083266,22.471820355865034,21.4894821,20.507143844134966
2014-05-30,564020800.0,11.4,192.679993,0.09,23.05607,21.5636249,78.88813469958419,22.64840481587271,21.5636249,20.478844984127292
2014-06-02,369350800.0,11.58,192.899994,0.1,23.424999,21.628035699999998,72.36596501877854,22.764545746389956,21.628035699999998,20.49152565361004
2014-06-03,292709200.0,11.87,192.800003,0.1,23.5625,21.69335715,76.62016636982793,22.93518851843145,21.69335715,20.451525781568552
2014-06-04,335482000.0,12.08,193.190002,0.1,23.465,21.783374900000002,79.41491114947681,23.1392305193624,21.783374900000002,20.427519280637604
2014-06-05,303805600.0,11.68,194.449997,0.1,23.0725,21.8816249,80.29640511856141,23.327444983488864,21.8816249,20.435804816511133
2014-06-06,349938400.0,10.73,195.380005,0.1,22.82,21.984446249999998,77.77301560930908,23.458385780382418,21.984446249999998,20.510506719617577
2014-06-09,301660000.0,11.15,195.580002,0.1,23.049999,22.110089,81.42183670472315,23.62694186098623,22.110089,20.59323613901377
2014-06-10,251108000.0,10.99,195.600006,0.1,23.02,22.22958895,82.57028154987076,23.810649490344726,22.22958895,20.648528409655274
2014-06-11,182724000.0,11.6,194.919998,0.1,23.045,22.3425533,78.8482269375462,23.938371761326334,22.3425533,20.746734838673664
2014-06-12,218996000.0,12.56,193.539993,0.1,22.965,22.4356962,65.95835704636185,23.969343098353363,22.4356962,20.902049301646635
2014-06-13,218100000.0,12.18,194.130005,0.1,22.727501,22.52523195,59.248123905846256,23.91555260809787,22.52523195,21.134911291902128
2014-06-16,142244000.0,12.65,194.289993,0.1,22.7075,22.61074975,62.94599822803169,23.900809168839782,22.61074975,21.32069033116022
2014-06-17,118904000.0,12.06,194.830002,0.1,22.57,22.6821247,62.1537930246986,23.890339631659213,22.6821247,21.473909768340786
2014-06-18,134056000.0,10.61,196.259995,0.1,22.59,22.7545354,62.57649275006657,23.85791041143136,22.7545354,21.651160388568645
2014-06-19,142112000.0,10.62,196.479996,0.1,22.725,22.820088950000002,60.25721211533916,23.796639109551805,22.820088950000002,21.8435387904482
2014-06-20,403592000.0,10.85,195.940002,0.1,22.995001,22.872053349999998,53.87349391724751,23.69325425522455,22.872053349999998,22.050852444775447
2014-06-23,174776000.0,10.98,195.880005,0.1,23.2325,22.91076765,53.360795968524094,23.609479915365927,22.91076765,22.212055384634073
2014-06-24,156144000.0,12.13,194.699997,0.1,23.379999,22.922071199999998,49.84862768919396,23.58875278149092,22.922071199999998,22.255389618509074
2014-06-25,147476000.0,11.59,195.580002,0.1,23.370001,22.9372676,50.36041922944876,23.55496506652701,22.9372676,22.319570133472986
2014-06-26,130516000.0,11.63,195.440002,0.1,23.5075,22.9389105,53.788483521524896,23.55403226844267,22.9389105,22.32378873155733
2014-06-27,256116000.0,11.26,195.820007,0.1,23.9925,22.9583034,59.77210903390613,23.55351853691897,22.9583034,22.36308826308103
2014-06-30,197929200.0,11.57,195.720001,0.1,23.8375,22.9973391,64.167273540828,23.553828701310515,22.9973391,22.440849498689488
2014-07-01,152892000.0,11.15,197.029999,0.09,23.8475,23.0278748,66.60738819611993,23.59851701619494,23.0278748,22.45723258380506
2014-07-02,113860000.0,10.82,197.229996,0.09,23.76,23.0449106,66.27792415835006,23.63571710287249,23.0449106,22.454104097127512
2014-07-03,91567200.0,10.32,198.199997,0.09,23.805,23.0643035,68.57971976569632,23.68987793373207,23.0643035,22.438729066267932
2014-07-07,225872000.0,11.33,197.509995,0.09,24.112499,23.111125,75.04913402984683,23.861776213772515,23.111125,22.360473786227487
2014-07-08,260888000.0,11.98,196.240005,0.09,23.83,23.13175005,70.08274586988955,23.939229925780545,23.13175005,22.324270174219457
2014-07-09,145744000.0,11.65,197.119995,0.09,23.695,23.14600005,70.2196692075897,23.99450387662105,23.14600005,22.297496223378953
2014-07-10,158744000.0,12.59,196.339996,0.09,23.272499,23.16075005,67.3165149851329,24.04221865152519,23.16075005,22.279281448474812
2014-07-11,136072000.0,12.08,196.610001,0.09,23.6075,23.19737505,68.0481532919946,24.123161187376766,23.19737505,22.271588912623237
2014-07-14,171240000.0,11.82,197.600006,0.09,23.485001,23.261999999999997,72.56726487511628,24.254884378704286,23.261999999999997,22.269115621295708
2014-07-15,181911600.0,11.96,197.229996,0.09,23.68,23.301000050000003,63.659329614521624,24.31976107233678,23.301000050000003,22.282239027663223
2014-07-16,213585200.0,11.0,197.960007,0.09,24.297501,23.33475005,59.87668465360227,24.359023377060417,23.33475005,22.310476722939583
2014-07-17,229192000.0,14.54,195.710007,0.09,24.2575,23.346125,49.88608419884127,24.36186715465253,23.346125,22.330382845347472
2014-07-18,199952000.0,12.06,197.710007,0.09,24.4175,23.37825,56.135634180593286,24.383828953952847,23.37825,22.372671046047156
2014-07-21,156316000.0,12.81,197.339996,0.09,24.754999,23.416125,53.507911496332795,24.374454589222974,23.416125,22.457795410777027
2014-07-22,220788000.0,12.24,198.199997,0.09,24.594999,23.464750000000002,56.961588027163295,24.368842673406103,23.464750000000002,22.5606573265939
2014-07-23,371672000.0,11.52,198.639999,0.09,24.5375,23.55112505,65.66084519276389,24.424865418549555,23.55112505,22.677384681450445
2014-07-24,182916000.0,11.84,198.649994,0.09,23.9,23.634500050000003,64.74784863401291,24.437446203534112,23.634500050000003,22.831553896465895
2014-07-25,173876000.0,12.69,197.720001,0.09,24.032499,23.71912505,66.73998442276655,24.47377418621564,23.71912505,22.96447591378436
2014-07-28,221272000.0,12.56,197.800003,0.09,23.897499,23.80712495,70.52389293801879,24.614838072177907,23.80712495,22.99941182782209
2014-07-29,172572000.0,13.28,196.949997,0.09,23.780001,23.8752499,66.65250383153537,24.70833343356459,23.8752499,23.04216636643541
2014-07-30,132040000.0,13.33,196.979996,0.09,23.74,23.93312495,65.26593290796811,24.782018364518027,23.93312495,23.084231535481972
2014-07-31,227372000.0,16.950001,193.089996,0.09,23.620001,23.9596249,52.28017663820911,24.766553954600965,23.9596249,23.152695845399037
2014-08-01,194044000.0,17.030001,192.5,0.09,23.684999,23.98587485,54.314751990049885,24.76453785835497,23.98587485,23.207211841645027
2014-08-04,159832000.0,15.12,193.889999,0.09,23.997499,23.9811248,51.88734684977227,24.760776074475377,23.9811248,23.201473525524623
2014-08-05,223732000.0,16.870001,192.009995,0.09,23.9925,23.97824985,49.80119637251656,24.760550628676384,23.97824985,23.195949071323618
2014-08-06,154232000.0,16.370001,192.070007,0.09,24.309999,23.97287485,49.07777047815337,24.76041780719214,23.97287485,23.18533189280786
2014-08-07,186844000.0,16.66,191.029999,0.09,24.375,23.9658749,46.877818848394064,24.763804831762275,23.9658749,23.167944968237723
2014-08-08,167460000.0,15.77,193.240005,0.09,24.495001,23.95987485,48.23145309018401,24.76467340102948,23.95987485,23.155076298970517
2014-08-11,146340000.0,14.23,193.800003,0.09,24.790001,23.954124850000003,54.26544351531434,24.755969900953833,23.954124850000003,23.152279799046173
2014-08-12,135180000.0,14.13,193.529999,0.09,25.1325,23.96224985,54.15669868430893,24.76208982327241,23.96224985,23.162409876727587
2014-08-13,127664000.0,12.9,194.839996,0.09,25.1425,23.9929998,59.682807768781,24.796856257337033,23.9929998,23.189143342662966
2014-08-14,112464000.0,12.42,195.759995,0.09,25.145,24.04812485,60.72657745219203,24.792988955763555,24.04812485,23.303260744236447
2014-08-15,195804000.0,13.15,195.720001,0.09,25.33,24.0924999,62.649072797006106,24.832567063383408,24.0924999,23.352432736616592
2014-08-18,190288000.0,12.32,197.360001,0.09,25.385,24.1577499,66.93423229304628,24.902397298156686,24.1577499,23.413102501843312
2014-08-19,277596000.0,12.21,198.389999,0.09,25.2225,24.230374899999997,71.08234586332301,25.057580567675306,24.230374899999997,23.40316923232469
2014-08-20,210796000.0,11.78,198.919998,0.09,25.532499,24.27262485,71.19596480414558,25.19509794454542,24.27262485,23.35015175545458
2014-08-21,133912000.0,11.76,199.5,0.09,25.5625,24.31699985,71.22640213317015,25.318416817366053,24.31699985,23.315582882633944
2014-08-22,176736000.0,11.47,199.190002,0.09,25.625,24.36262485,73.46126000439098,25.46170647028802,24.36262485,23.263543229711978
2014-08-25,161080000.0,11.7,200.199997,0.09,25.825001,24.3941249,74.10519789401579,25.573719419896808,24.3941249,23.214530380103195
2014-08-26,132608000.0,11.63,200.330002,0.09,24.735001,24.42549995,68.79403271745288,25.659707334775167,24.42549995,23.19129256522483
2014-08-27,209476000.0,11.78,200.25,0.09,24.530001,24.4752499,72.79914988018324,25.80498466666829,24.4752499,23.145515133331713
2014-08-28,273840000.0,12.05,200.139999,0.09,24.7425,24.558374899999997,73.15819531540845,25.943402289507645,24.558374899999997,23.17334751049235
2014-08-29,178380000.0,12.09,200.710007,0.09,24.59,24.63799995,73.93022359385773,26.0777564938211,24.63799995,23.198243406178904
2014-09-02,214256000.0,12.25,200.610001,0.09,24.497499,24.73437505,76.2812136525404,26.22265462466681,24.73437505,23.246095475333192
2014-09-03,501684000.0,12.36,200.5,0.09,25.25,24.782125049999998,49.880196621718454,26.20114663681399,24.782125049999998,23.363103463186004
2014-09-04,342872000.0,12.64,200.210007,0.09,25.3575,24.8216251,46.612670314655084,26.160205855954867,24.8216251,23.48304434404513
2014-09-05,233828000.0,12.09,201.110001,0.09,25.415001,24.87775005,50.250695198553835,26.092605700468685,24.87775005,23.662894399531314
2014-09-08,185426800.0,12.66,200.589996,0.09,25.407499,24.9230001,47.73662822432907,26.011658992786842,24.9230001,23.834341207213157
2014-09-09,759385200.0,13.5,199.320007,0.09,25.215,24.948000099999998,46.225916611668005,25.967968652457266,24.948000099999998,23.92803154754273
2014-09-10,403478400.0,12.88,200.070007,0.09,25.395,25.0108751,57.89862096259465,25.93320093168382,25.0108751,24.08854926831618
2014-09-11,249412400.0,12.8,200.300003,0.09,25.4475,25.063250150000002,59.25917063285742,25.935610778048943,25.063250150000002,24.19088952195106
2014-09-12,250504400.0,13.31,199.130005,0.09,25.24,25.1152502,60.003712927640564,25.937413245426406,25.1152502,24.29308715457359
2014-09-15,245266000.0,14.12,198.979996,0.09,25.264999,25.160875100000002,59.85003543529773,25.93816323447897,25.160875100000002,24.383586965521033
2014-09-16,267632400.0,12.73,200.479996,0.09,25.66,25.182125050000003,55.89422747548517,25.93970995345901,25.182125050000003,24.424540146541
2014-09-17,243706000.0,12.65,200.75,0.09,25.4375,25.195250050000002,58.64662084030869,25.9582908496966,25.195250050000002,24.432209250303405
2014-09-18,149197600.0,12.03,201.820007,0.09,24.467501,25.21050005,59.441620863426415,25.981254255343217,25.21050005,24.439745844656784
2014-09-19,283609600.0,12.11,200.699997,0.09,25.1875,25.21525005,54.94555960495632,25.985475369665785,25.21525005,24.445024730334218
2014-09-22,211153600.0,13.69,199.149994,0.09,25.0275,25.212,55.38341142173983,25.98073369627675,25.212,24.44326630372325
2014-09-23,253608800.0,14.93,198.009995,0.09,25.1875,25.22575,61.71457169891043,26.017019912696476,25.22575,24.434480087303527
2014-09-24,240687200.0,13.27,199.559998,0.09,24.795,25.2365,56.82321584630673,26.033405806361312,25.2365,24.439594193638687
2014-09-25,400368000.0,15.64,196.339996,0.09,24.975,25.183250100000002,41.41311726825787,26.037165247024337,25.183250100000002,24.329334952975668
2014-09-26,249482000.0,14.85,197.899994,0.09,24.905001,25.1645001,51.85099519882121,25.999613574421108,25.1645001,24.329386625578895
2014-09-29,199065200.0,15.98,197.539993,0.09,24.905001,25.1346251,49.73063988566251,25.942686783941536,25.1346251,24.326563416058466
2014-09-30,221056400.0,16.309999,197.020004,0.09,24.6875,25.102750049999997,51.85106488718105,25.84365049782046,25.102750049999997,24.361849602179536
