date,Actual,Predicted
2014-05-28,109.910004,82.22797
2014-05-29,111.489998,82.37492
2014-05-30,113.110001,83.6761
2014-06-02,113.949997,85.76042
2014-06-03,114.919998,85.21881
2014-06-04,114.480003,84.67323
2014-06-05,114.589996,84.10076
2014-06-06,115.150002,84.474754
2014-06-09,115.07,86.220055
2014-06-10,113.870003,83.85176
2014-06-11,114.059998,85.85153
2014-06-12,114.260002,84.0139
2014-06-13,114.239998,86.30815
2014-06-16,114.480003,85.22923
2014-06-17,114.709999,85.81578
2014-06-18,116.050003,84.66874
2014-06-19,117.75,87.86059
2014-06-20,118.220001,86.705215
2014-06-23,117.220001,87.02695
2014-06-24,116.550003,86.962135
2014-06-25,117.470001,87.47966
2014-06-26,117.650002,88.18089
2014-06-27,118.839996,86.45099
2014-06-30,119.660004,86.99177
2014-07-01,122.260002,88.02258
2014-07-02,121.879997,90.22221
2014-07-03,121.730003,90.713715
2014-07-07,121.160004,88.01059
2014-07-08,120.300003,87.24213
2014-07-09,120.040001,87.19283
2014-07-10,118.050003,85.05232
2014-07-11,118.519997,86.096054
2014-07-14,119.0,89.777954
2014-07-15,118.709999,88.955444
2014-07-16,119.150002,89.69826
2014-07-17,118.379997,86.81793
2014-07-18,118.900002,88.41588
2014-07-21,118.660004,89.70383
2014-07-22,119.18,90.7755
2014-07-23,119.43,89.84587
2014-07-24,119.379997,90.37471
2014-07-25,119.629997,90.53206
2014-07-28,120.580002,89.994835
2014-07-29,120.580002,86.70903
2014-07-30,120.040001,86.957275
2014-07-31,117.989998,84.94371
2014-08-01,117.589996,86.55178
2014-08-04,118.120003,89.101395
2014-08-05,119.029999,84.78374
2014-08-06,116.610001,82.927704
2014-08-07,116.68,84.85292
2014-08-08,117.629997,85.15524
2014-08-11,116.760002,85.265335
2014-08-12,117.239998,86.06166
2014-08-13,117.93,87.49918
2014-08-14,117.739998,88.314354
2014-08-15,116.889999,86.76459
2014-08-18,117.209999,88.77898
2014-08-19,116.949997,87.09901
2014-08-20,115.699997,84.78415
2014-08-21,115.779999,85.49951
2014-08-22,114.089996,84.38
2014-08-25,114.870003,85.56859
2014-08-26,115.080002,85.456116
2014-08-27,114.910004,84.87927
2014-08-28,114.43,84.19798
2014-08-29,114.32,86.89621
2014-09-02,116.199997,84.999374
2014-09-03,115.959999,85.961395
2014-09-04,116.050003,84.46154
2014-09-05,116.389999,88.17453
2014-09-08,116.040001,86.44934
2014-09-09,115.019997,83.93149
2014-09-10,116.489998,84.47106
2014-09-11,116.370003,87.32082
2014-09-12,117.110001,86.58884
2014-09-15,117.160004,87.71358
2014-09-16,117.589996,85.37656
2014-09-17,117.349998,86.09991
2014-09-18,119.43,86.392975
2014-09-19,118.760002,87.21123
2014-09-22,119.010002,85.6454
2014-09-23,118.25,85.37317
2014-09-24,118.849998,86.298996
2014-09-25,117.870003,84.6364
2014-09-26,118.650002,86.09062
2014-09-29,117.519997,84.412445
2014-09-30,117.529999,83.687706
2014-10-01,116.650002,84.91147
2014-10-02,114.480003,82.373215
2014-10-03,116.160004,84.44
2014-10-06,116.699997,84.29317
2014-10-07,115.82,83.25988
2014-10-08,116.260002,83.09779
2014-10-09,114.519997,82.38025
2014-10-10,113.970001,81.16387
2014-10-13,112.669998,80.16789
2014-10-14,111.620003,83.30887
2014-10-15,110.059998,79.93683
2014-10-16,110.18,77.6693
2014-10-17,109.790001,77.77243
2014-10-20,113.309998,80.60777
2014-10-21,113.349998,83.185104
2014-10-22,112.269997,80.751366
2014-10-23,113.410004,81.56981
2014-10-24,114.510002,82.64351
2014-10-27,114.339996,85.19002
2014-10-28,115.099998,83.032455
2014-10-29,115.809998,85.12654
2014-10-30,115.860001,86.27748
2014-10-31,121.349998,99.306984
2014-11-03,122.0,90.29086
2014-11-04,119.400002,85.666626
2014-11-05,121.370003,86.68353
2014-11-06,119.830002,85.76247
2014-11-07,118.669998,86.208115
2014-11-10,117.970001,85.2077
2014-11-11,119.139999,86.09372
2014-11-12,118.790001,87.17578
2014-11-13,119.82,87.27053
2014-11-14,119.82,88.6508
2014-11-17,118.589996,85.59941
2014-11-18,120.07,86.37196
2014-11-19,120.349998,86.11919
2014-11-20,119.720001,89.9717
2014-11-21,121.290001,92.27609
2014-11-24,121.459999,88.829765
2014-11-25,121.809998,90.81589
2014-11-26,121.699997,88.239
2014-11-28,123.129997,89.99397
2014-12-01,124.940002,88.07103
2014-12-02,126.57,89.458115
2014-12-03,127.709999,90.29118
2014-12-04,128.600006,90.74928
2014-12-05,129.029999,91.5395
2014-12-08,128.419998,91.07855
2014-12-09,128.360001,89.55749
2014-12-10,125.489998,87.887436
2014-12-11,126.089996,91.018265
2014-12-12,124.540001,87.9837
2014-12-15,121.550003,85.42523
2014-12-16,121.940002,84.69974
2014-12-17,123.220001,86.67976
2014-12-18,124.739998,88.53553
2014-12-19,127.010002,89.32043
2014-12-22,126.639999,88.929306
2014-12-23,126.760002,93.26268
2014-12-24,126.760002,96.27234
2014-12-26,128.100006,94.41417
2014-12-29,127.370003,93.10173
2014-12-30,125.910004,93.130714
2014-12-31,125.480003,93.33616
2015-01-02,125.669998,90.83658
2015-01-05,123.370003,89.72809
2015-01-06,122.099998,87.61659
2015-01-07,125.169998,88.19638
2015-01-08,127.580002,88.64928
2015-01-09,126.080002,94.09761
2015-01-12,126.040001,89.45389
2015-01-13,126.410004,91.05672
2015-01-14,125.82,87.98303
2015-01-15,126.779999,89.83621
2015-01-16,128.880005,89.41656
2015-01-20,129.160004,90.04932
2015-01-21,128.660004,88.92585
2015-01-22,129.860001,93.26654
2015-01-23,129.660004,92.19949
2015-01-26,131.860001,92.384
2015-01-27,131.100006,92.69739
2015-01-28,130.949997,92.62424
2015-01-29,132.149994,91.71106
2015-01-30,128.850006,91.99111
2015-02-02,131.089996,92.66426
2015-02-03,131.100006,90.7023
2015-02-04,132.679993,91.97902
2015-02-05,131.740005,91.53705
2015-02-06,129.570007,90.96236
2015-02-09,129.160004,94.65379
2015-02-10,130.850006,94.142624
2015-02-11,131.020004,91.314926
2015-02-12,131.820007,92.62643
2015-02-13,132.490005,93.67752
2015-02-17,132.080002,92.69061
2015-02-18,134.160004,95.78926
2015-02-19,135.279999,97.376015
2015-02-20,136.899994,97.78542
2015-02-23,136.979996,99.16383
2015-02-24,138.339996,96.562325
2015-02-25,136.869995,98.177605
2015-02-26,136.800003,97.677155
2015-02-27,135.369995,97.82088
2015-03-02,135.869995,96.99956
2015-03-03,135.399994,98.08095
2015-03-04,135.520004,97.97441
2015-03-05,134.899994,97.144516
2015-03-06,134.889999,98.38875
2015-03-09,135.389999,98.84886
2015-03-10,133.690002,96.59385
2015-03-11,134.0,96.64111
2015-03-12,137.529999,95.9221
2015-03-13,136.169998,94.63285
2015-03-16,137.520004,97.563034
2015-03-17,136.960007,95.9935
2015-03-18,140.080002,96.49449
2015-03-19,140.100006,98.15115
2015-03-20,143.089996,99.108505
2015-03-23,145.320007,100.06825
2015-03-24,144.520004,101.18562
2015-03-25,143.809998,100.30719
2015-03-26,143.110001,99.41958
2015-03-27,142.399994,101.49423
2015-03-30,142.550003,98.18691
2015-03-31,139.889999,96.65355
2015-04-01,138.479996,96.66278
2015-04-02,140.020004,99.85466
2015-04-06,140.639999,102.5211
2015-04-07,139.720001,99.565735
2015-04-08,139.940002,102.70155
2015-04-09,139.910004,98.91769
2015-04-10,139.649994,97.73871
2015-04-13,137.559998,96.68036
2015-04-14,138.660004,101.20313
2015-04-15,139.080002,101.405396
2015-04-16,138.979996,101.17851
2015-04-17,138.429993,98.96911
2015-04-20,138.729996,101.89974
2015-04-21,141.330002,98.76024
2015-04-22,141.660004,103.25052
2015-04-23,141.029999,98.47928
2015-04-24,141.210007,100.11561
2015-04-27,140.660004,99.93926
2015-04-28,142.059998,98.94712
2015-04-29,140.789993,99.69817
2015-04-30,139.020004,99.64041
2015-05-01,139.960007,99.65161
