date,Actual,Predicted
2014-05-28,15.508,19.057434
2014-05-29,15.689,19.187449
2014-05-30,15.6275,18.891146
2014-06-02,15.442,19.188818
2014-06-03,15.3595,19.116161
2014-06-04,15.339,19.133667
2014-06-05,16.178499,19.961794
2014-06-06,16.4835,18.966343
2014-06-09,16.375,19.164278
2014-06-10,16.620501,19.108116
2014-06-11,16.76,19.058006
2014-06-12,16.2955,18.939331
2014-06-13,16.313499,19.155777
2014-06-16,16.381001,19.164352
2014-06-17,16.281,19.11952
2014-06-18,16.719,19.542248
2014-06-19,16.35,19.020988
2014-06-20,16.209999,19.291077
2014-06-23,16.362,19.203773
2014-06-24,16.208,19.187435
2014-06-25,16.372,19.245615
2014-06-26,16.2845,19.216309
2014-06-27,16.2285,19.25868
2014-06-30,16.239,19.137964
2014-07-01,16.619499,19.09998
2014-07-02,16.6425,19.259296
2014-07-03,16.8745,19.498533
2014-07-07,16.6775,19.432371
2014-07-08,16.1905,18.95819
2014-07-09,16.498501,19.140322
2014-07-10,16.396,19.141855
2014-07-11,17.309999,20.53752
2014-07-14,17.766001,19.261936
2014-07-15,17.722,19.272823
2014-07-16,17.795,19.46965
2014-07-17,17.622499,19.169886
2014-07-18,17.933001,19.23544
2014-07-21,17.988001,19.392332
2014-07-22,18.042,19.293179
2014-07-23,17.907,19.398886
2014-07-24,17.9305,19.892035
2014-07-25,16.2005,34.146553
2014-07-28,16.0205,18.83839
2014-07-29,16.0,18.772015
2014-07-30,16.1255,18.58817
2014-07-31,15.6495,18.119492
2014-08-01,15.353,19.038515
2014-08-04,15.6825,18.412014
2014-08-05,15.616,18.571226
2014-08-06,15.6945,18.74384
2014-08-07,15.5725,18.689642
2014-08-08,15.84,18.729166
2014-08-11,15.9165,18.961924
2014-08-12,15.966,19.08638
2014-08-13,16.313999,18.74462
2014-08-14,16.6605,19.019487
2014-08-15,16.681499,18.88954
2014-08-18,16.7265,19.186005
2014-08-19,16.7565,19.308641
2014-08-20,16.789,19.325314
2014-08-21,16.6455,19.24673
2014-08-22,16.5795,19.220896
2014-08-25,16.701,19.229362
2014-08-26,17.091499,18.97827
2014-08-27,17.159,19.172174
2014-08-28,17.000999,19.238241
2014-08-29,16.952,19.239462
2014-09-02,17.118999,19.10709
2014-09-03,16.950001,19.16643
2014-09-04,17.297501,18.87416
2014-09-05,17.319,19.20571
2014-09-08,17.117001,18.960766
2014-09-09,16.487499,18.568542
2014-09-10,16.5665,18.69494
2014-09-11,16.525999,18.849623
2014-09-12,16.5595,18.773603
2014-09-15,16.1945,18.503841
2014-09-16,16.388,18.680597
2014-09-17,16.200001,18.563286
2014-09-18,16.25,18.818012
2014-09-19,16.566,19.372946
2014-09-22,16.225,18.680841
2014-09-23,16.181499,18.718513
2014-09-24,16.4105,18.752947
2014-09-25,16.0965,18.622152
2014-09-26,16.1605,18.484348
2014-09-29,16.091,18.678692
2014-09-30,16.122,18.526335
2014-10-01,15.873,18.531193
2014-10-02,15.9205,18.434029
2014-10-03,16.136999,18.63922
2014-10-06,16.110001,18.669088
2014-10-07,15.849,18.586649
2014-10-08,16.135,18.441963
2014-10-09,15.7685,18.212584
2014-10-10,15.5695,17.997866
2014-10-13,15.3225,17.746283
2014-10-14,15.4155,18.176977
2014-10-15,15.2985,17.423721
2014-10-16,15.143,17.56937
2014-10-17,15.182,17.724371
2014-10-20,15.3105,18.18326
2014-10-21,15.7665,18.311972
2014-10-22,15.6485,18.305521
2014-10-23,15.659,20.355074
2014-10-24,14.353,36.983303
2014-10-27,14.4985,18.034336
2014-10-28,14.7795,18.041004
2014-10-29,14.706,17.818417
2014-10-30,14.9535,17.958147
2014-10-31,15.273,17.936352
2014-11-03,15.286,18.122215
2014-11-04,15.1405,18.103466
2014-11-05,14.826,17.853193
2014-11-06,14.832,18.006649
2014-11-07,14.993,18.329256
2014-11-10,15.2555,18.34283
2014-11-11,15.6005,18.21097
2014-11-12,15.5755,18.532576
2014-11-13,15.824,18.245083
2014-11-14,16.391001,20.414133
2014-11-17,16.1525,18.159561
2014-11-18,16.2465,18.351435
2014-11-19,16.327,18.41137
2014-11-20,16.527,18.432854
2014-11-21,16.6315,18.306648
2014-11-24,16.782,18.615309
2014-11-25,16.752001,18.633755
2014-11-26,16.678499,18.71987
2014-11-28,16.931999,18.463238
2014-12-01,16.299999,18.04198
2014-12-02,16.3155,18.442991
2014-12-03,15.825,18.349127
2014-12-04,15.8465,18.23393
2014-12-05,15.6315,18.248495
2014-12-08,15.332,17.94791
2014-12-09,15.625,17.687191
2014-12-10,15.292,17.700186
2014-12-11,15.368,17.486025
2014-12-12,15.366,17.55057
2014-12-15,15.3035,17.587833
2014-12-16,14.753,17.364874
2014-12-17,14.944,17.347588
2014-12-18,14.8865,18.686647
2014-12-19,14.995,19.60443
2014-12-22,15.327,17.704716
2014-12-23,15.3145,17.977015
2014-12-24,15.1515,18.20199
2014-12-26,15.4545,17.91665
2014-12-29,15.602,17.831295
2014-12-30,15.515,17.981266
2014-12-31,15.5175,17.841887
2015-01-02,15.426,17.753931
2015-01-05,15.1095,17.615147
2015-01-06,14.7645,17.388514
2015-01-07,14.921,17.604996
2015-01-08,15.023,17.585812
2015-01-09,14.8465,17.706038
2015-01-12,14.5705,17.357422
2015-01-13,14.737,17.233887
2015-01-14,14.6635,16.988214
2015-01-15,14.3475,17.141226
2015-01-16,14.537,17.284672
2015-01-20,14.472,17.451202
2015-01-21,14.8625,20.859997
2015-01-22,15.516,17.556557
2015-01-23,15.6195,17.863295
2015-01-26,15.483,18.223385
2015-01-27,15.3375,18.163357
2015-01-28,15.1955,17.95095
2015-01-29,15.589,19.84653
2015-01-30,17.7265,45.08475
2015-02-02,18.223499,21.851034
2015-02-03,18.1775,18.735723
2015-02-04,18.237499,18.495462
2015-02-05,18.6945,19.397873
2015-02-06,18.714001,18.75826
2015-02-09,18.528,18.800404
2015-02-10,18.65,18.91065
2015-02-11,18.757,18.89592
2015-02-12,18.8585,19.016224
2015-02-13,19.091499,18.957552
2015-02-17,18.7715,18.744776
2015-02-18,18.668501,18.962997
2015-02-19,18.950001,18.955791
2015-02-20,19.183001,18.966322
2015-02-23,19.007,19.166925
2015-02-24,18.929501,19.232601
2015-02-25,19.268499,19.030197
2015-02-26,19.24,19.19552
2015-02-27,19.007999,19.242908
2015-03-02,19.283001,19.274462
2015-03-03,19.230499,19.24129
2015-03-04,19.136,19.183805
2015-03-05,19.3915,19.176535
2015-03-06,19.004499,19.143738
2015-03-09,18.927999,19.13034
2015-03-10,18.4755,18.91949
2015-03-11,18.318501,18.995323
2015-03-12,18.712,18.983397
2015-03-13,18.528999,19.033243
2015-03-16,18.6675,18.977316
2015-03-17,18.596001,19.06443
2015-03-18,18.757,18.991985
2015-03-19,18.662001,19.171522
2015-03-20,18.9245,18.979128
2015-03-23,18.755501,19.230349
2015-03-24,18.7045,19.217318
2015-03-25,18.548,18.956144
2015-03-26,18.3675,18.974407
2015-03-27,18.528,19.110449
2015-03-30,18.7295,19.226181
2015-03-31,18.605,19.146048
2015-04-01,18.513,19.193857
2015-04-02,18.612499,19.30274
2015-04-06,18.851999,19.053095
2015-04-07,18.720501,19.30643
2015-04-08,19.059999,19.25098
2015-04-09,19.177,19.399845
2015-04-10,19.1325,19.345203
2015-04-13,19.118,19.418798
2015-04-14,19.255501,19.334164
2015-04-15,19.172501,19.476774
2015-04-16,19.302,19.495651
2015-04-17,18.778,19.346584
2015-04-20,19.4755,19.137745
2015-04-21,19.559,19.271017
2015-04-22,19.49,19.480114
2015-04-23,19.4995,20.70286
2015-04-24,22.254999,34.968502
2015-04-27,21.927999,19.760391
2015-04-28,21.4655,19.82696
2015-04-29,21.4685,19.796146
2015-04-30,21.089001,19.751047
2015-05-01,21.143499,19.845697
2015-05-04,21.152,20.060612
2015-05-05,21.0595,19.897234
2015-05-06,20.955,19.835796
2015-05-07,21.344,19.866074
2015-05-08,21.6845,19.998314
2015-05-11,21.6425,20.04361
2015-05-12,21.551001,20.090721
2015-05-13,21.3435,20.082338
2015-05-14,21.614,20.1549
2015-05-15,21.299999,19.725739
2015-05-18,21.261999,19.937128
2015-05-19,21.085501,19.927406
2015-05-20,21.193001,19.934729
2015-05-21,21.581499,19.77366
2015-05-22,21.3815,20.151089
2015-05-26,21.2735,19.967646
2015-05-27,21.570999,20.023188
2015-05-28,21.328501,20.053814
2015-05-29,21.4615,19.867348
2015-06-01,21.546,19.96483
2015-06-02,21.5495,20.05499
2015-06-03,21.8295,19.999329
2015-06-04,21.539,19.988148
2015-06-05,21.3475,20.097723
2015-06-08,21.174999,19.923313
2015-06-09,21.274,19.990517
2015-06-10,21.5385,20.086588
2015-06-11,21.6485,20.079222
2015-06-12,21.496,20.151184
2015-06-15,21.1835,19.976036
2015-06-16,21.363001,19.983023
2015-06-17,21.390499,20.022926
2015-06-18,21.9695,19.918743
2015-06-19,21.746,19.778402
2015-06-22,21.814501,20.258055
2015-06-23,22.2995,20.12181
2015-06-24,22.042,20.244858
2015-06-25,22.004999,20.219572
2015-06-26,21.905001,20.14598
2015-06-29,21.493,19.763268
2015-06-30,21.7045,19.814693
2015-07-01,21.869499,20.13449
2015-07-02,21.8855,20.203878
2015-07-06,21.802,20.161633
2015-07-07,21.836,19.93577
2015-07-08,21.485001,19.891901
2015-07-09,21.7195,19.971853
2015-07-10,22.175501,20.253817
2015-07-13,22.7785,20.317942
2015-07-14,23.2785,20.333687
2015-07-15,23.0595,20.643415
2015-07-16,23.774,20.545368
2015-07-17,24.150499,20.75702
2015-07-20,24.405001,20.869957
2015-07-21,24.4,21.119558
2015-07-22,24.4135,21.184315
2015-07-23,24.108999,23.811365
2015-07-24,26.471001,45.772766
2015-07-27,26.570499,22.387932
2015-07-28,26.3015,21.291937
2015-07-29,26.450001,21.59887
2015-07-30,26.837999,21.616602
2015-07-31,26.807501,21.812384
2015-08-03,26.751499,21.77931
2015-08-04,26.594999,21.746735
2015-08-05,26.8505,21.83283
2015-08-06,26.473,21.597754
2015-08-07,26.131001,21.524673
2015-08-10,26.200001,21.796593
2015-08-11,26.372999,21.709314
2015-08-12,26.2955,21.428562
2015-08-13,26.483,21.650013
2015-08-14,26.576,21.758293
2015-08-17,26.761,21.463413
2015-08-18,26.750999,21.555803
2015-08-19,26.646,21.565628
2015-08-20,25.789,20.97412
2015-08-21,24.723499,20.538458
2015-08-24,23.168501,23.439886
2015-08-25,23.318501,20.47502
2015-08-26,25.0385,20.177177
2015-08-27,25.918501,20.418016
2015-08-28,25.900499,20.878124
2015-08-31,25.644501,20.893991
2015-09-01,24.827,20.674856
2015-09-02,25.5275,20.596113
2015-09-03,25.236,20.88927
2015-09-04,24.950001,21.119696
2015-09-08,25.877001,20.699633
2015-09-09,25.8445,20.708153
2015-09-10,26.112,21.259417
2015-09-11,26.472,21.226906
2015-09-14,26.069,21.205563
2015-09-15,26.1185,21.235205
2015-09-16,26.369499,21.38537
2015-09-17,26.943501,21.20303
2015-09-18,27.013,21.152178
2015-09-21,27.4195,21.616997
2015-09-22,26.92,21.289179
2015-09-23,26.803499,21.672085
2015-09-24,26.6875,21.300287
2015-09-25,26.2125,21.265432
2015-09-28,25.202999,20.73228
2015-09-29,24.803499,20.730679
2015-09-30,25.5945,20.998026
2015-10-01,26.035999,21.228613
2015-10-02,26.627001,21.210493
2015-10-05,27.184,21.702307
2015-10-06,26.874001,21.55643
2015-10-07,27.097,21.646126
2015-10-08,26.658001,21.506933
2015-10-09,26.99,21.833735
2015-10-12,27.509501,22.160658
2015-10-13,27.445,22.02048
2015-10-14,27.241501,21.881727
2015-10-15,28.122,21.833813
2015-10-16,28.538,22.307873
2015-10-19,28.657499,22.4131
2015-10-20,28.044001,22.264938
2015-10-21,27.7885,22.363592
2015-10-22,28.195499,23.567211
2015-10-23,29.9515,28.16833
2015-10-26,30.4305,22.694384
2015-10-27,30.550501,22.845533
2015-10-28,30.855,22.944916
2015-10-29,31.327499,23.078356
2015-10-30,31.295,23.171867
2015-11-02,31.4175,23.293987
2015-11-03,31.265499,23.181398
2015-11-04,32.047501,22.989119
2015-11-05,32.782501,23.2204
2015-11-06,32.968498,23.385496
2015-11-09,32.774502,23.266495
2015-11-10,32.984001,23.425589
2015-11-11,33.662498,23.330303
2015-11-12,33.279999,23.421745
2015-11-13,32.1175,23.267033
2015-11-16,32.390499,24.194542
2015-11-17,32.165001,23.111498
2015-11-18,33.176998,23.238195
2015-11-19,33.063499,23.306784
2015-11-20,33.422501,23.537851
2015-11-23,33.949501,23.636585
2015-11-24,33.557499,23.483767
2015-11-25,33.766998,23.89879
2015-11-27,33.662998,24.210169
2015-11-30,33.240002,23.312464
2015-12-01,33.952999,23.672274
2015-12-02,33.800499,23.722511
2015-12-03,33.3125,23.392717
2015-12-04,33.632,23.49496
2015-12-07,33.491501,23.680853
2015-12-08,33.866501,23.57352
2015-12-09,33.239498,23.2596
2015-12-10,33.116001,23.487377
2015-12-11,32.0075,22.93741
2015-12-14,32.8955,22.888166
2015-12-15,32.931999,23.091572
2015-12-16,33.788502,23.458254
2015-12-17,33.532501,23.640125
2015-12-18,33.207001,24.190248
2015-12-21,33.225498,23.899782
2015-12-22,33.157501,24.09482
2015-12-23,33.185001,23.997103
2015-12-24,33.1395,24.458582
2015-12-28,33.759998,23.613708
2015-12-29,34.698502,23.485031
2015-12-30,34.453499,23.7167
2015-12-31,33.794498,23.561062
2016-01-04,31.849501,26.856915
2016-01-05,31.689501,22.997458
2016-01-06,31.6325,22.600973
2016-01-07,30.396999,23.318235
2016-01-08,30.352501,22.40075
2016-01-11,30.886999,22.373922
2016-01-12,30.894501,22.618885
2016-01-13,29.0905,23.86344
2016-01-14,29.65,23.17226
2016-01-15,28.509001,23.561975
2016-01-19,28.724001,22.09256
2016-01-20,28.588499,23.571695
2016-01-21,28.750999,22.287552
2016-01-22,29.819,22.43803
2016-01-25,29.8265,22.54924
2016-01-26,30.0625,22.601902
2016-01-27,29.1675,22.19464
2016-01-28,31.7675,32.984245
2016-01-29,29.35,33.177002
2016-02-01,28.740499,22.07557
2016-02-02,27.605,21.768265
2016-02-03,26.553499,25.808485
2016-02-04,26.813,21.337214
2016-02-05,25.106501,25.002314
2016-02-08,24.405001,24.665651
2016-02-09,24.1035,21.481407
2016-02-10,24.524,21.339533
2016-02-11,25.191,21.881716
2016-02-12,25.354,21.199123
2016-02-16,26.055,21.299593
2016-02-17,26.705,21.510212
2016-02-18,26.25,21.674763
2016-02-19,26.745001,21.66631
2016-02-22,27.975,21.832499
2016-02-23,27.646999,22.200914
2016-02-24,27.702,21.945904
2016-02-25,27.7575,22.161428
2016-02-26,27.761499,22.099789
2016-02-29,27.625999,22.13946
2016-03-01,28.952,22.150152
2016-03-02,29.0105,22.419918
2016-03-03,28.8745,22.704733
2016-03-04,28.757,22.5869
2016-03-07,28.139999,22.14692
2016-03-08,28.013,22.106047
2016-03-09,27.973499,22.105177
2016-03-10,27.946501,22.154612
2016-03-11,28.480499,22.261896
2016-03-14,28.668501,22.314869
2016-03-15,28.851,22.343672
2016-03-16,28.713499,22.605225
2016-03-17,27.972,22.175459
2016-03-18,27.604,23.174183
2016-03-21,27.698999,22.163984
2016-03-22,28.024,22.397848
2016-03-23,28.481501,22.51287
2016-03-24,29.147499,22.468761
2016-03-28,28.9935,22.82622
2016-03-29,29.693001,22.678507
2016-03-30,29.9345,22.985992
2016-03-31,29.681999,23.103334
2016-04-01,29.924999,23.070679
2016-04-04,29.6595,23.103903
2016-04-05,29.306999,23.05106
2016-04-06,30.104,23.09813
2016-04-07,29.571501,22.982784
2016-04-08,29.73,23.15494
2016-04-11,29.796499,23.157759
2016-04-12,30.158501,23.200659
2016-04-13,30.740999,23.101042
2016-04-14,31.0375,23.32251
2016-04-15,31.2945,23.453598
2016-04-18,31.7675,23.273516
2016-04-19,31.395,23.257719
2016-04-20,31.6495,23.44469
2016-04-21,31.549999,23.438887
2016-04-22,31.025,23.205196
2016-04-25,31.309999,23.666372
2016-04-26,30.844,23.631197
2016-04-27,30.328501,23.213133
2016-04-28,30.1,24.840166
2016-04-29,32.9795,29.147242
2016-05-02,34.192501,24.344795
2016-05-03,33.566002,23.977861
2016-05-04,33.544998,23.98544
2016-05-05,32.954498,23.953203
2016-05-06,33.697498,24.07894
2016-05-09,33.987499,24.314295
2016-05-10,35.1535,24.378998
2016-05-11,35.661499,25.94219
2016-05-12,35.8965,24.542616
2016-05-13,35.495998,24.571646
2016-05-16,35.533001,24.321802
2016-05-17,34.7635,24.33694
2016-05-18,34.872501,24.360422
2016-05-19,34.925999,24.607248
2016-05-20,35.139999,24.76991
2016-05-23,34.837502,24.831102
2016-05-24,35.209999,24.735678
2016-05-25,35.4175,24.805784
2016-05-26,35.745499,25.098616
2016-05-27,35.612,25.220812
2016-05-31,36.1395,24.768631
2016-06-01,35.972,24.883451
2016-06-02,36.411999,24.967293
2016-06-03,36.277,24.933865
2016-06-06,36.336498,25.053503
2016-06-07,36.187,24.990246
2016-06-08,36.332001,25.16426
2016-06-09,36.3825,25.15727
2016-06-10,35.8955,24.465681
2016-06-13,35.762001,24.139551
2016-06-14,35.965,24.492664
2016-06-15,35.713001,24.450647
2016-06-16,35.8755,24.348799
2016-06-17,35.3195,24.318752
2016-06-20,35.7005,24.264606
2016-06-21,35.791,24.792255
2016-06-22,35.529999,24.495527
2016-06-23,36.104,24.554361
2016-06-24,34.948002,25.585852
2016-06-27,34.568001,24.127943
2016-06-28,35.397499,24.452326
2016-06-29,35.779999,24.824087
2016-06-30,35.780998,24.87554
2016-07-01,36.284,25.030014
2016-07-05,36.404999,25.258183
2016-07-06,36.880501,24.89931
2016-07-07,36.828499,25.18504
2016-07-08,37.290501,25.145523
2016-07-11,37.688999,25.227798
2016-07-12,37.4105,24.957798
2016-07-13,37.1315,25.024591
2016-07-14,37.060001,25.451231
2016-07-15,36.771999,25.118597
2016-07-18,36.803501,25.062933
2016-07-19,36.997501,25.455301
2016-07-20,37.285999,25.547209
2016-07-21,37.2215,25.54807
2016-07-22,37.243,25.631027
2016-07-25,36.980499,25.372288
2016-07-26,36.779499,25.332525
2016-07-27,36.8335,25.145601
2016-07-28,37.630501,27.011793
