date,Actual,Predicted
2014-05-28,34.59,24.052505
2014-05-29,34.450001,24.241785
2014-05-30,34.580002,24.018957
2014-06-02,34.860001,24.322723
2014-06-03,35.259998,24.293758
2014-06-04,36.52,24.877192
2014-06-05,36.27,24.933195
2014-06-06,36.549999,25.088179
2014-06-09,36.5,25.779678
2014-06-10,36.400002,25.81696
2014-06-11,36.119999,25.554867
2014-06-12,35.52,24.78887
2014-06-13,35.630001,24.951708
2014-06-16,36.060001,25.098543
2014-06-17,36.360001,25.206873
2014-06-18,36.299999,25.159739
2014-06-19,36.369999,25.62906
2014-06-20,36.220001,25.375982
2014-06-23,36.669998,25.661726
2014-06-24,36.580002,25.584097
2014-06-25,37.09,25.870354
2014-06-26,36.900002,25.84092
2014-06-27,36.619999,25.214397
2014-06-30,36.299999,25.002542
2014-07-01,37.59,25.370192
2014-07-02,37.740002,26.136122
2014-07-03,37.740002,26.992086
2014-07-07,37.439999,26.40673
2014-07-08,37.580002,26.331
2014-07-09,37.970001,26.612917
2014-07-10,37.75,26.525661
2014-07-11,37.950001,26.929234
2014-07-14,37.700001,26.715187
2014-07-15,37.580002,26.66084
2014-07-16,37.48,26.507036
2014-07-17,37.099998,26.109303
2014-07-18,37.41,26.301115
2014-07-21,37.43,26.44727
2014-07-22,37.759998,26.525497
2014-07-23,37.41,26.187998
2014-07-24,35.740002,24.672579
2014-07-25,35.07,23.897554
2014-07-28,34.900002,24.16601
2014-07-29,34.450001,23.909801
2014-07-30,34.310001,23.471212
2014-07-31,33.82,23.49316
2014-08-01,33.439999,23.114813
2014-08-04,33.610001,23.518896
2014-08-05,33.360001,23.315165
2014-08-06,33.400002,23.47847
2014-08-07,33.110001,22.988111
2014-08-08,33.529999,23.342505
2014-08-11,33.799999,23.55788
2014-08-12,33.700001,23.714346
2014-08-13,33.950001,24.040443
2014-08-14,33.950001,23.659264
2014-08-15,33.84,23.470833
2014-08-18,34.400002,24.050974
2014-08-19,34.57,24.241888
2014-08-20,34.529999,24.309507
2014-08-21,34.599998,24.535595
2014-08-22,34.240002,24.220072
2014-08-25,34.669998,24.292961
2014-08-26,34.849998,24.615654
2014-08-27,34.709999,24.596508
2014-08-28,34.68,24.496687
2014-08-29,34.799999,24.648457
2014-09-02,34.799999,24.567106
2014-09-03,34.470001,24.221912
2014-09-04,34.630001,24.311491
2014-09-05,34.580002,23.886778
2014-09-08,33.240002,22.972095
2014-09-09,33.07,23.102446
2014-09-10,33.290001,23.26385
2014-09-11,33.610001,23.45326
2014-09-12,33.27,23.309538
2014-09-15,33.630001,23.27539
2014-09-16,33.709999,23.543987
2014-09-17,33.849998,23.744541
2014-09-18,34.029999,23.95387
2014-09-19,33.939999,23.546679
2014-09-22,33.439999,23.332388
2014-09-23,33.220001,23.369589
2014-09-24,33.650002,23.338
2014-09-25,32.869999,23.04127
2014-09-26,33.169998,23.22949
2014-09-29,32.220001,22.177414
2014-09-30,31.940001,21.859945
2014-10-01,32.490002,22.177149
2014-10-02,33.18,22.488495
2014-10-03,33.759998,23.034166
2014-10-06,33.75,23.618734
2014-10-07,31.77,21.893688
2014-10-08,32.18,21.707035
2014-10-09,31.030001,21.31013
2014-10-10,30.290001,20.718645
2014-10-13,29.790001,20.476656
2014-10-14,30.110001,20.636707
2014-10-15,29.690001,20.08809
2014-10-16,29.940001,20.190739
2014-10-17,30.24,20.805351
2014-10-20,30.34,20.942509
2014-10-21,30.84,21.241943
2014-10-22,31.309999,21.283295
2014-10-23,30.93,21.407055
2014-10-24,30.040001,21.04694
2014-10-27,30.08,20.82893
2014-10-28,31.17,21.222893
2014-10-29,30.719999,21.3544
2014-10-30,30.780001,21.426537
2014-10-31,31.4,21.51
2014-11-03,31.18,21.674185
2014-11-04,30.82,21.413925
2014-11-05,30.73,21.411203
2014-11-06,31.370001,21.48408
2014-11-07,31.59,21.975893
2014-11-10,31.120001,21.734089
2014-11-11,31.35,21.958746
2014-11-12,31.42,22.047432
2014-11-13,31.65,22.187624
2014-11-14,31.790001,22.246983
2014-11-17,32.310001,22.315573
2014-11-18,32.27,22.446465
2014-11-19,32.150002,22.497707
2014-11-20,32.130001,22.491484
2014-11-21,32.130001,22.595043
2014-11-24,32.189999,22.172775
2014-11-25,32.23,22.54352
2014-11-26,32.07,22.609484
2014-11-28,33.43,22.720453
2014-12-01,32.939999,22.792175
2014-12-02,33.259998,22.907843
2014-12-03,33.639999,23.3104
2014-12-04,33.09,23.140078
2014-12-05,33.93,22.99631
2014-12-08,32.68,22.580208
2014-12-09,32.810001,22.549314
2014-12-10,31.969999,22.266096
2014-12-11,32.189999,22.104765
2014-12-12,31.57,21.928062
2014-12-15,31.0,21.338568
2014-12-16,30.73,20.608849
2014-12-17,31.15,21.270796
2014-12-18,31.75,21.623205
2014-12-19,32.810001,22.020548
2014-12-22,33.23,22.81051
2014-12-23,33.560001,23.532705
2014-12-24,33.43,23.729881
2014-12-26,33.73,23.72586
2014-12-29,34.599998,23.511831
2014-12-30,35.09,23.992908
