date,Actual,Predicted
2014-05-28,28.007107,23.546053
2014-05-29,27.927326,23.668116
2014-05-30,27.917852,23.65391
2014-06-02,27.620667,23.682898
2014-06-03,27.172398,23.498177
2014-06-04,27.158438,23.452917
2014-06-05,27.619171,23.68582
2014-06-06,27.740339,24.0282
2014-06-09,28.029045,23.980257
2014-06-10,27.950762,24.055922
2014-06-11,27.865496,24.005318
2014-06-12,27.492022,23.407894
2014-06-13,27.512465,23.578707
2014-06-16,27.139488,23.351107
2014-06-17,27.076162,23.597277
2014-06-18,27.592745,24.104845
2014-06-19,27.669035,24.190458
2014-06-20,27.741835,27.17184
2014-06-23,28.170158,24.038542
2014-06-24,28.153704,23.528303
2014-06-25,28.853283,23.803514
2014-06-26,28.721146,23.827242
2014-06-27,28.782976,23.876091
2014-06-30,28.685246,23.934343
2014-07-01,29.053734,24.097528
2014-07-02,29.037029,24.515844
2014-07-03,29.15645,25.21483
2014-07-07,29.032789,24.384926
2014-07-08,28.476318,23.691458
2014-07-09,28.725136,24.14671
2014-07-10,28.476816,23.60324
2014-07-11,28.879711,23.73985
2014-07-14,29.163431,23.842953
2014-07-15,29.158943,23.813284
2014-07-16,29.053234,24.21544
2014-07-17,28.607958,23.328112
2014-07-18,29.672535,25.726795
2014-07-21,29.392801,23.513739
2014-07-22,29.655581,23.82812
2014-07-23,29.717411,24.211134
2014-07-24,29.586271,24.438463
2014-07-25,29.370363,24.271044
2014-07-28,29.449146,24.224318
2014-07-29,29.200331,23.45702
2014-07-30,29.290583,23.914812
2014-07-31,28.501747,21.945984
2014-08-01,28.226006,21.890738
2014-08-04,28.579037,22.648552
2014-08-05,28.176142,21.969614
2014-08-06,28.241163,22.21757
2014-08-07,28.090876,22.405153
2014-08-08,28.360636,22.382704
2014-08-11,28.316257,23.076582
2014-08-12,28.059464,22.895906
2014-08-13,28.660313,23.39646
2014-08-14,28.653831,24.057278
2014-08-15,28.595491,23.366419
2014-08-18,29.028303,23.778
2014-08-19,29.262659,24.34635
2014-08-20,29.144484,24.409155
2014-08-21,29.088636,24.624453
2014-08-22,29.048248,24.870787
2014-08-25,28.930571,24.112352
2014-08-26,28.81389,24.084047
2014-08-27,28.47183,24.010992
2014-08-28,28.382076,23.97619
2014-08-29,28.501747,24.294367
2014-09-02,28.787464,23.901388
2014-09-03,28.817881,24.070562
2014-09-04,29.019327,23.8086
2014-09-05,29.223766,23.996641
2014-09-08,29.405268,23.844883
2014-09-09,28.970961,23.61527
2014-09-10,29.075174,24.255571
2014-09-11,28.987913,23.920824
2014-09-12,28.702198,23.494162
2014-09-15,28.576544,23.208035
2014-09-16,28.918104,23.77294
2014-09-17,29.158445,23.794775
2014-09-18,29.38283,24.095392
2014-09-19,29.722397,25.264868
2014-09-22,29.28809,23.395056
2014-09-23,28.976944,22.96578
2014-09-24,29.319004,23.536482
2014-09-25,28.674274,22.574526
2014-09-26,28.775995,22.96753
2014-09-29,28.739098,22.796017
2014-09-30,28.78896,22.428438
2014-10-01,28.335705,22.182095
2014-10-02,28.425957,22.668116
2014-10-03,28.685246,23.32857
2014-10-06,28.788462,22.985666
2014-10-07,28.109823,21.885857
2014-10-08,28.546625,22.69437
2014-10-09,27.967216,21.337362
2014-10-10,27.14996,20.94604
2014-10-13,26.587503,19.115692
2014-10-14,26.823357,19.687605
2014-10-15,26.42894,20.880543
2014-10-16,26.153694,20.885572
2014-10-17,25.488522,26.465242
2014-10-20,25.970697,21.152449
2014-10-21,26.254917,22.046349
2014-10-22,26.562572,21.897245
2014-10-23,27.124531,22.019651
2014-10-24,26.915106,22.285982
2014-10-27,26.96447,22.685854
2014-10-28,27.369856,23.159311
2014-10-29,27.391296,22.752914
2014-10-30,27.440163,23.061666
2014-10-31,27.877462,23.261562
2014-11-03,27.684992,23.178392
2014-11-04,27.629642,23.278307
2014-11-05,27.221264,23.245592
2014-11-06,27.027796,23.572435
2014-11-07,26.976437,23.666845
2014-11-10,27.299549,24.197582
2014-11-11,27.439165,24.410986
2014-11-12,27.290573,24.119387
2014-11-13,27.194338,23.616865
2014-11-14,27.145472,23.805212
2014-11-17,26.752052,23.425032
2014-11-18,26.678255,23.492361
2014-11-19,26.775988,23.518179
2014-11-20,26.668282,23.625296
2014-11-21,26.801416,23.807224
2014-11-24,26.889673,24.019
2014-11-25,26.979927,24.11969
2014-11-26,26.944525,24.235445
2014-11-28,27.017324,24.185038
2014-12-01,26.616922,23.465006
2014-12-02,26.614429,24.028673
2014-12-03,26.493263,24.322294
2014-12-04,26.791943,24.234129
2014-12-05,26.191092,24.530115
2014-12-08,26.276857,23.439264
2014-12-09,26.595482,23.146269
2014-12-10,26.230984,22.007551
2014-12-11,26.344671,21.589203
2014-12-12,25.861996,21.011694
2014-12-15,25.619661,21.41015
2014-12-16,24.701681,22.648466
2014-12-17,25.175381,21.95738
2014-12-18,25.485031,23.04419
2014-12-19,25.746813,24.267076
2014-12-22,26.171646,23.435205
2014-12-23,26.456863,23.33958
2014-12-24,26.366112,24.652525
2014-12-26,26.628391,24.174158
2014-12-29,26.443897,23.30298
2014-12-30,26.448385,23.983831
2014-12-31,26.247936,22.257376
2015-01-02,26.168653,22.47156
2015-01-05,25.623152,21.363207
2015-01-06,25.029282,21.308815
2015-01-07,24.986401,21.530813
2015-01-08,25.065184,23.511553
2015-01-09,24.740576,22.17932
2015-01-12,24.56007,21.372166
2015-01-13,24.741074,21.058035
2015-01-14,24.974932,20.727423
2015-01-15,25.020805,20.623285
2015-01-16,25.334444,20.9381
2015-01-20,25.275606,21.32395
2015-01-21,25.831081,21.717607
2015-01-22,26.646341,22.955084
2015-01-23,26.92358,22.577713
2015-01-26,26.687229,23.073193
2015-01-27,25.8605,22.310606
2015-01-28,25.430182,21.170694
2015-01-29,25.463091,24.642248
2015-01-30,26.652824,27.644602
2015-02-02,26.351652,21.829111
2015-02-03,26.389547,22.373116
2015-02-04,26.066435,22.082102
2015-02-05,26.306774,22.611048
2015-02-06,26.477306,22.489851
2015-02-09,26.319241,22.468382
2015-02-10,26.773493,22.571661
2015-02-11,26.725126,22.905983
2015-02-12,27.072172,23.327066
2015-02-13,27.375341,23.550413
2015-02-17,27.067686,23.268162
