date,Actual,Predicted
2014-05-28,34.599998,26.650166
2014-05-29,34.869999,26.852955
2014-05-30,35.18,27.055485
2014-06-02,35.27,27.144571
2014-06-03,35.18,27.047764
2014-06-04,34.900002,26.739548
2014-06-05,35.029999,26.908537
2014-06-06,35.09,27.169456
2014-06-09,35.0,26.962002
2014-06-10,34.849998,26.909325
2014-06-11,34.869999,26.896275
2014-06-12,34.700001,26.849947
2014-06-13,34.68,26.634966
2014-06-16,34.669998,26.543657
2014-06-17,34.740002,26.693867
2014-06-18,35.0,26.943867
2014-06-19,35.650002,27.382526
2014-06-20,35.630001,27.688372
2014-06-23,35.169998,27.229084
2014-06-24,34.869999,26.878708
2014-06-25,34.880001,26.750473
2014-06-26,34.810001,26.881493
2014-06-27,34.849998,26.819017
2014-06-30,34.990002,26.961016
2014-07-01,35.23,27.071722
2014-07-02,35.040001,27.141777
2014-07-03,35.0,27.021126
2014-07-07,35.169998,27.104597
2014-07-08,34.990002,27.028505
2014-07-09,35.41,27.23545
2014-07-10,34.990002,26.77304
2014-07-11,34.959999,26.872997
2014-07-14,35.220001,27.167814
2014-07-15,35.369999,27.292976
2014-07-16,35.689999,27.566757
2014-07-17,35.099998,27.05728
2014-07-18,35.290001,27.226753
2014-07-21,35.27,26.991903
2014-07-22,35.450001,27.133368
2014-07-23,35.150002,27.050827
2014-07-24,35.130001,27.121231
2014-07-25,34.990002,26.96865
2014-07-28,35.18,27.007626
2014-07-29,36.02,27.33102
2014-07-30,35.84,27.631607
2014-07-31,34.880001,26.96167
2014-08-01,34.599998,26.48624
2014-08-04,34.5,26.390404
2014-08-05,34.209999,26.106926
2014-08-06,34.060001,25.883827
2014-08-07,33.990002,25.93023
2014-08-08,34.200001,25.762604
2014-08-11,34.02,26.017488
2014-08-12,33.91,25.92638
2014-08-13,34.34,26.331305
2014-08-14,34.099998,26.11618
2014-08-15,33.959999,26.084774
2014-08-18,34.119999,26.180775
2014-08-19,34.080002,26.185673
2014-08-20,34.09,26.251442
2014-08-21,34.73,26.590187
2014-08-22,34.349998,26.56774
2014-08-25,34.5,26.629526
2014-08-26,34.279999,26.383142
2014-08-27,33.950001,26.307493
2014-08-28,34.07,26.127377
2014-08-29,34.049999,26.168995
2014-09-02,33.77,25.998245
2014-09-03,33.959999,26.055222
2014-09-04,33.889999,26.097431
2014-09-05,33.849998,26.003498
2014-09-08,33.849998,25.94438
2014-09-09,33.689999,25.908394
2014-09-10,34.23,26.231941
2014-09-11,34.400002,26.261843
2014-09-12,34.5,26.41217
2014-09-15,34.5,26.344067
2014-09-16,34.130001,26.199331
2014-09-17,33.93,26.11238
2014-09-18,34.529999,26.359768
2014-09-19,34.459999,26.56615
2014-09-22,34.59,26.593248
2014-09-23,34.32,26.437084
2014-09-24,34.759998,26.639828
2014-09-25,34.360001,26.467903
2014-09-26,34.419998,26.300884
2014-09-29,34.040001,26.087736
2014-09-30,34.279999,26.218107
2014-10-01,33.790001,25.89383
2014-10-02,32.0,29.780746
2014-10-03,32.48,25.967098
2014-10-06,32.720001,25.083187
2014-10-07,32.59,24.97075
2014-10-08,32.860001,25.097355
2014-10-09,32.150002,24.56886
2014-10-10,31.700001,24.08498
2014-10-13,31.389999,23.531656
2014-10-14,31.549999,23.81704
2014-10-15,31.25,23.787226
2014-10-16,30.91,22.63658
2014-10-17,31.129999,23.219658
2014-10-20,31.610001,23.73419
2014-10-21,31.549999,23.951382
2014-10-22,31.620001,24.100267
2014-10-23,31.620001,24.058407
2014-10-24,31.07,23.471085
2014-10-27,30.82,23.331541
2014-10-28,29.99,23.586391
2014-10-29,30.690001,23.267725
2014-10-30,30.65,23.23613
2014-10-31,32.119999,24.4464
2014-11-03,32.400002,24.574196
2014-11-04,31.02,23.696375
2014-11-05,31.690001,24.290478
2014-11-06,31.66,24.191292
2014-11-07,31.620001,24.157284
2014-11-10,31.549999,24.23713
2014-11-11,31.01,23.684647
2014-11-12,31.190001,23.88731
2014-11-13,31.530001,23.90786
2014-11-14,31.99,24.472435
2014-11-17,31.51,24.107948
2014-11-18,31.65,24.150637
2014-11-19,31.129999,23.772148
2014-11-20,31.16,24.209953
2014-11-21,31.74,24.274765
2014-11-24,31.68,24.474503
2014-11-25,31.790001,24.436302
2014-11-26,30.969999,23.834831
2014-11-28,30.32,23.292799
2014-12-01,30.51,23.238155
2014-12-02,30.76,23.606277
2014-12-03,30.98,23.755552
2014-12-04,31.209999,23.972382
2014-12-05,31.139999,23.921448
2014-12-08,30.540001,23.585459
2014-12-09,31.01,23.497952
2014-12-10,30.139999,23.060305
2014-12-11,30.059999,22.801567
2014-12-12,29.34,22.177828
2014-12-15,28.93,21.880882
2014-12-16,28.870001,22.470417
2014-12-17,29.809999,22.305046
2014-12-18,30.139999,22.801453
2014-12-19,30.33,22.961874
2014-12-22,30.200001,22.962856
2014-12-23,30.23,23.164986
2014-12-24,30.370001,23.309906
2014-12-26,30.33,23.199188
2014-12-29,30.040001,22.893896
2014-12-30,29.6,22.471664
2014-12-31,29.52,22.292353
2015-01-02,29.59,22.388039
2015-01-05,28.98,21.941402
2015-01-06,28.82,21.577587
2015-01-07,29.110001,21.777464
2015-01-08,29.48,22.203514
2015-01-09,29.41,22.306934
2015-01-12,29.41,21.981182
2015-01-13,29.809999,22.482464
2015-01-14,30.25,22.912716
2015-01-15,30.299999,22.631245
2015-01-16,30.84,22.941616
2015-01-20,30.780001,23.207949
2015-01-21,31.09,23.267433
2015-01-22,31.280001,23.615189
2015-01-23,31.17,23.786018
2015-01-26,31.059999,23.587156
2015-01-27,30.83,23.395103
