date,Actual,Predicted
2014-05-28,63.509998,55.932026
2014-05-29,63.830002,55.937088
2014-05-30,63.299999,55.7237
2014-06-02,63.080002,57.775307
2014-06-03,62.869999,59.132324
2014-06-04,63.34,57.083374
2014-06-05,63.189999,55.96735
2014-06-06,62.5,57.245045
2014-06-09,62.880001,57.949917
2014-06-10,65.769997,63.227043
2014-06-11,65.779999,56.04517
2014-06-12,64.290001,58.06938
2014-06-13,64.5,60.862804
2014-06-16,64.190002,59.476917
2014-06-17,64.400002,61.90929
2014-06-18,65.599998,59.78855
2014-06-19,64.339996,60.273315
2014-06-20,64.5,56.464336
2014-06-23,65.370003,59.556774
2014-06-24,65.720001,58.761463
2014-06-25,67.440002,56.174164
2014-06-26,67.129997,56.908066
2014-06-27,67.599998,56.65963
2014-06-30,67.290001,63.320282
2014-07-01,68.059998,60.496162
2014-07-02,66.449997,58.13672
2014-07-03,66.290001,65.65923
2014-07-07,65.290001,62.653744
2014-07-08,62.759998,63.015385
2014-07-09,64.970001,57.129967
2014-07-10,64.870003,55.134117
2014-07-11,66.339996,57.09897
2014-07-14,67.900002,58.027237
2014-07-15,67.169998,56.447365
2014-07-16,67.660004,62.960594
2014-07-17,66.410004,54.936913
2014-07-18,68.419998,56.925198
2014-07-21,69.400002,57.323322
2014-07-22,69.269997,57.6804
2014-07-23,71.290001,69.97079
2014-07-24,74.980003,103.37935
2014-07-25,75.190002,57.41229
2014-07-28,74.919998,57.75984
2014-07-29,73.709999,56.920532
2014-07-30,74.68,58.1195
2014-07-31,72.650002,54.803555
2014-08-01,72.360001,54.34266
2014-08-04,73.510002,59.298508
2014-08-05,72.690002,55.88793
2014-08-06,72.470001,57.822678
2014-08-07,73.169998,55.06543
2014-08-08,73.059998,60.808308
2014-08-11,73.440002,63.7527
2014-08-12,72.830002,62.197956
2014-08-13,73.769997,62.412586
2014-08-14,74.300003,67.06692
2014-08-15,73.629997,57.646873
2014-08-18,74.589996,66.250885
2014-08-19,75.290001,65.12485
2014-08-20,74.809998,67.645584
2014-08-21,74.57,69.740944
2014-08-22,74.57,69.32425
2014-08-25,75.019997,70.30452
2014-08-26,75.959999,67.33807
2014-08-27,74.629997,60.561245
2014-08-28,73.860001,68.12974
2014-08-29,74.82,65.62565
2014-09-02,76.68,60.766815
2014-09-03,75.830002,62.44907
2014-09-04,75.949997,65.148636
2014-09-05,77.260002,64.23005
2014-09-08,77.889999,64.5042
2014-09-09,76.669998,63.31867
2014-09-10,77.43,63.232384
2014-09-11,77.919998,62.184525
2014-09-12,77.480003,64.86718
2014-09-15,74.580002,58.247936
2014-09-16,76.080002,58.88934
2014-09-17,76.43,64.113304
2014-09-18,77.0,68.17496
2014-09-19,77.910004,71.77887
2014-09-22,76.800003,61.440483
2014-09-23,78.290001,57.471138
2014-09-24,78.540001,62.722164
2014-09-25,77.220001,57.007927
2014-09-26,78.790001,62.11067
2014-09-29,79.0,58.302185
2014-09-30,79.040001,57.47011
2014-10-01,76.550003,59.37786
2014-10-02,77.080002,56.61817
2014-10-03,77.440002,65.16423
2014-10-06,77.559998,62.906868
2014-10-07,76.290001,61.269585
2014-10-08,77.519997,59.06739
2014-10-09,75.910004,56.907196
2014-10-10,72.910004,57.97841
2014-10-13,72.989998,56.368385
2014-10-14,73.589996,57.2176
2014-10-15,73.209999,65.320015
2014-10-16,72.629997,59.745415
2014-10-17,75.949997,74.38729
2014-10-20,76.949997,56.00045
2014-10-21,78.690002,58.93501
2014-10-22,78.370003,55.114838
2014-10-23,80.040001,57.533997
2014-10-24,80.669998,59.39865
2014-10-27,80.279999,60.633038
2014-10-28,80.769997,71.76669
2014-10-29,75.860001,92.36653
2014-10-30,74.110001,76.1153
2014-10-31,74.989998,56.78556
2014-11-03,73.879997,56.377674
2014-11-04,75.760002,56.13056
2014-11-05,74.830002,58.75792
2014-11-06,75.260002,67.39719
2014-11-07,75.599998,68.52336
2014-11-10,75.0,68.33761
2014-11-11,74.610001,70.147156
2014-11-12,74.720001,64.69533
2014-11-13,74.25,64.13374
2014-11-14,74.879997,69.08426
2014-11-17,74.239998,62.755283
2014-11-18,74.339996,67.89925
2014-11-19,73.330002,64.607445
2014-11-20,73.599998,69.0529
2014-11-21,73.75,67.09094
2014-11-24,74.010002,67.96436
2014-11-25,75.629997,62.55005
2014-11-26,77.620003,62.805874
2014-11-28,77.699997,72.83551
2014-12-01,75.099998,61.60862
2014-12-02,75.459999,72.24092
2014-12-03,74.879997,72.644066
2014-12-04,75.239998,74.90166
2014-12-05,76.360001,67.83721
2014-12-08,76.519997,64.86842
2014-12-09,76.839996,63.791954
2014-12-10,76.18,57.618073
2014-12-11,77.730003,56.93895
2014-12-12,77.830002,57.99321
2014-12-15,76.989998,57.985058
2014-12-16,74.690002,56.11231
2014-12-17,76.110001,57.765934
2014-12-18,78.400002,58.13914
2014-12-19,79.879997,56.32483
2014-12-22,81.449997,61.757214
2014-12-23,80.610001,69.77622
2014-12-24,80.769997,80.023315
2014-12-26,80.779999,77.10147
2014-12-29,80.019997,73.45868
2014-12-30,79.220001,72.22389
2014-12-31,78.019997,64.848526
2015-01-02,78.449997,67.24071
2015-01-05,77.190002,59.185043
2015-01-06,76.150002,58.007347
2015-01-07,76.150002,62.14962
2015-01-08,78.18,63.263763
2015-01-09,77.739998,64.91236
2015-01-12,76.720001,64.25079
2015-01-13,76.449997,59.18746
2015-01-14,76.279999,58.214367
2015-01-15,74.050003,55.636547
2015-01-16,75.18,60.249504
2015-01-20,76.239998,60.80986
2015-01-21,76.739998,60.68079
2015-01-22,77.650002,67.30626
2015-01-23,77.830002,69.008705
2015-01-26,77.5,68.2522
2015-01-27,75.779999,65.4898
2015-01-28,76.239998,59.094566
2015-01-29,78.0,63.540466
2015-01-30,75.910004,55.56533
2015-02-02,74.989998,54.696907
2015-02-03,75.400002,60.921494
2015-02-04,75.629997,64.20255
2015-02-05,75.610001,69.72766
2015-02-06,74.470001,64.62257
2015-02-09,74.440002,66.766235
2015-02-10,75.190002,68.72369
2015-02-11,76.510002,65.47904
2015-02-12,76.230003,70.21016
2015-02-13,75.739998,69.71241
2015-02-17,75.599998,63.802383
2015-02-18,76.709999,66.203865
2015-02-19,79.419998,57.09903
2015-02-20,79.900002,59.67147
2015-02-23,78.839996,66.73568
2015-02-24,78.449997,71.185356
2015-02-25,79.559998,66.27288
2015-02-26,80.410004,63.407173
2015-02-27,78.970001,64.113205
2015-03-02,79.75,69.90087
2015-03-03,79.599998,71.31059
2015-03-04,80.900002,64.46542
2015-03-05,81.209999,65.2142
2015-03-06,80.010002,65.696495
2015-03-09,79.440002,69.762566
2015-03-10,77.550003,64.62782
2015-03-11,77.57,66.47546
2015-03-12,78.93,71.32756
2015-03-13,78.050003,68.95291
2015-03-16,78.07,68.92413
2015-03-17,79.360001,66.88588
2015-03-18,80.910004,60.039696
2015-03-19,82.75,58.422867
2015-03-20,83.800003,59.53859
2015-03-23,84.43,66.71929
2015-03-24,85.309998,63.675278
2015-03-25,82.919998,59.170162
2015-03-26,83.010002,60.862854
2015-03-27,83.300003,71.0415
2015-03-30,83.199997,67.29612
2015-03-31,82.220001,69.74195
2015-04-01,81.669998,68.02646
2015-04-02,81.559998,70.22633
2015-04-06,82.440002,70.54757
2015-04-07,82.32,72.01979
2015-04-08,82.279999,71.66416
2015-04-09,82.169998,74.774864
2015-04-10,82.040001,78.27986
2015-04-13,83.010002,66.07164
2015-04-14,83.519997,71.801674
2015-04-15,82.709999,70.70148
2015-04-16,82.309998,77.2686
2015-04-17,80.779999,67.50509
2015-04-20,83.089996,65.5491
2015-04-21,83.620003,66.8681
2015-04-22,84.629997,59.85031
2015-04-23,82.410004,72.304886
2015-04-24,81.529999,66.18112
2015-04-27,81.910004,67.56501
2015-04-28,80.68,69.380775
2015-04-29,80.470001,66.35158
2015-04-30,78.769997,63.66195
2015-05-01,78.989998,68.25253
2015-05-04,78.809998,75.21704
2015-05-05,77.559998,67.690475
2015-05-06,78.099998,62.91102
2015-05-07,78.43,68.96339
2015-05-08,78.510002,71.34153
2015-05-11,78.010002,71.009605
2015-05-12,77.459999,68.993484
2015-05-13,78.440002,68.94354
2015-05-14,81.370003,59.534332
2015-05-15,80.419998,67.38494
2015-05-18,80.879997,70.66112
2015-05-19,80.629997,73.47649
2015-05-20,80.550003,69.47586
2015-05-21,80.480003,77.756195
2015-05-22,80.540001,72.76134
2015-05-26,79.330002,73.119095
2015-05-27,80.550003,75.64201
2015-05-28,80.150002,77.6534
2015-05-29,79.190002,73.491776
2015-06-01,80.290001,71.816826
2015-06-02,80.440002,71.054474
2015-06-03,82.440002,63.724648
2015-06-04,82.050003,69.65648
2015-06-05,82.139999,73.52219
2015-06-08,80.669998,71.69803
2015-06-09,80.669998,72.549484
2015-06-10,82.160004,70.37446
2015-06-11,81.830002,73.22984
2015-06-12,81.529999,77.759384
2015-06-15,80.709999,70.23675
2015-06-16,81.059998,74.89429
2015-06-17,81.790001,72.02938
2015-06-18,82.910004,67.25209
2015-06-19,82.510002,69.03931
2015-06-22,84.739998,66.4334
2015-06-23,87.879997,61.364033
2015-06-24,88.860001,60.70099
2015-06-25,87.980003,67.42992
2015-06-26,88.010002,61.187916
2015-06-29,85.800003,58.94359
2015-06-30,85.769997,65.62383
2015-07-01,86.910004,66.20427
2015-07-02,87.290001,71.95519
2015-07-06,87.550003,65.9301
2015-07-07,87.220001,62.011154
2015-07-08,85.650002,63.29712
2015-07-09,85.879997,64.000854
2015-07-10,87.949997,67.62284
2015-07-13,90.099998,66.3818
2015-07-14,89.68,69.478775
2015-07-15,89.760002,66.73573
2015-07-16,90.849998,74.23706
2015-07-17,94.970001,64.00394
2015-07-20,97.910004,64.723946
2015-07-21,98.389999,64.93647
2015-07-22,97.040001,70.93787
2015-07-23,95.440002,69.384705
2015-07-24,96.949997,66.02304
2015-07-27,94.169998,61.438076
2015-07-28,95.290001,64.929016
2015-07-29,96.989998,71.29677
2015-07-30,95.209999,85.36702
2015-07-31,94.010002,62.593098
2015-08-03,94.139999,68.80049
2015-08-04,94.059998,75.137375
2015-08-05,96.440002,68.97757
2015-08-06,95.120003,61.847523
2015-08-07,94.300003,72.721
2015-08-10,94.150002,75.22899
2015-08-11,93.620003,72.71293
2015-08-12,94.190002,69.272194
2015-08-13,93.43,76.46988
2015-08-14,94.419998,77.99715
2015-08-17,93.93,76.1033
2015-08-18,95.169998,72.442276
2015-08-19,95.309998,70.535645
2015-08-20,90.559998,60.48756
2015-08-21,86.059998,74.73457
2015-08-24,82.089996,98.03485
2015-08-25,83.0,77.214325
2015-08-26,87.190002,68.58384
2015-08-27,89.730003,64.03997
2015-08-28,91.010002,62.93452
2015-08-31,89.43,65.25566
2015-09-01,87.230003,67.84119
2015-09-02,89.889999,62.237865
2015-09-03,88.150002,61.786266
2015-09-04,88.260002,63.271084
2015-09-08,89.529999,61.365532
2015-09-09,90.440002,63.01864
2015-09-10,91.980003,61.309177
2015-09-11,92.050003,63.27033
2015-09-14,92.309998,63.63739
2015-09-15,92.900002,65.8614
2015-09-16,93.449997,69.38492
2015-09-17,94.339996,61.671337
2015-09-18,94.400002,72.09456
2015-09-21,95.550003,61.778706
2015-09-22,92.959999,61.13554
2015-09-23,93.970001,63.7825
2015-09-24,94.410004,61.63434
2015-09-25,92.769997,62.23837
2015-09-28,89.209999,65.71689
2015-09-29,86.669998,64.06332
2015-09-30,89.900002,60.39715
2015-10-01,90.949997,60.184273
2015-10-02,92.07,59.211403
2015-10-05,94.010002,62.57969
2015-10-06,92.800003,66.58441
2015-10-07,92.400002,66.00282
2015-10-08,92.470001,64.6008
2015-10-09,93.239998,70.63776
2015-10-12,94.260002,72.830795
2015-10-13,94.120003,70.55246
2015-10-14,94.07,70.37894
2015-10-15,95.959999,66.74204
2015-10-16,97.540001,69.761734
2015-10-19,98.470001,71.4059
2015-10-20,97.0,65.77679
2015-10-21,97.110001,71.00492
2015-10-22,99.669998,70.32761
2015-10-23,102.190002,62.458256
2015-10-26,103.769997,70.98094
2015-10-27,103.699997,72.52463
2015-10-28,104.199997,73.82236
2015-10-29,104.879997,76.97616
2015-10-30,101.970001,66.58776
2015-11-02,103.309998,73.84957
2015-11-03,102.580002,76.075554
2015-11-04,103.940002,63.010483
2015-11-05,108.760002,76.289444
2015-11-06,107.099998,67.19528
2015-11-09,106.489998,70.71464
2015-11-10,107.910004,72.81823
2015-11-11,109.010002,72.637924
2015-11-12,108.019997,73.69682
2015-11-13,103.949997,65.820244
2015-11-16,104.040001,66.234436
2015-11-17,105.129997,67.577896
2015-11-18,107.769997,72.251884
2015-11-19,106.260002,71.08906
2015-11-20,107.32,75.137695
2015-11-23,106.949997,77.180336
2015-11-24,105.739998,73.32507
2015-11-25,105.410004,81.8529
2015-11-27,105.449997,92.06168
2015-11-30,104.239998,75.53737
2015-12-01,107.120003,75.43725
2015-12-02,106.07,73.0871
2015-12-03,104.379997,71.46418
2015-12-04,106.18,76.18114
2015-12-07,105.610001,81.12729
2015-12-08,106.489998,73.902596
2015-12-09,104.599998,69.903885
2015-12-10,105.419998,75.587105
2015-12-11,102.120003,67.28113
2015-12-14,104.660004,66.72137
2015-12-15,104.550003,69.84134
2015-12-16,106.790001,72.238235
2015-12-17,106.220001,72.13353
2015-12-18,104.040001,65.479126
2015-12-21,104.769997,77.00365
2015-12-22,105.510002,80.72574
2015-12-23,104.629997,76.723724
2015-12-24,105.019997,89.96718
2015-12-28,105.93,81.86281
2015-12-29,107.260002,79.142166
2015-12-30,106.220001,81.67652
2015-12-31,104.660004,74.776306
2016-01-04,102.220001,64.18211
2016-01-05,102.730003,69.15346
2016-01-06,102.970001,65.877525
2016-01-07,97.919998,66.90596
2016-01-08,97.330002,66.47691
2016-01-11,97.510002,63.865837
2016-01-12,99.370003,63.540817
2016-01-13,95.440002,64.60543
2016-01-14,98.370003,65.72071
2016-01-15,94.970001,67.228836
2016-01-19,95.260002,64.12635
2016-01-20,94.349998,72.68414
2016-01-21,94.160004,64.36636
2016-01-22,97.940002,62.739906
2016-01-25,97.010002,64.03163
2016-01-26,97.339996,63.32467
2016-01-27,94.449997,71.5925
2016-01-28,109.110001,108.55186
2016-01-29,112.209999,77.432144
2016-02-01,115.089996,68.51612
2016-02-02,114.610001,77.41063
2016-02-03,112.690002,75.17587
2016-02-04,110.489998,67.71703
2016-02-05,104.07,87.41554
2016-02-08,99.75,82.32547
2016-02-09,99.540001,76.43489
2016-02-10,101.0,68.45689
2016-02-11,101.910004,69.91113
2016-02-12,102.010002,66.300095
2016-02-16,101.610001,67.57399
2016-02-17,105.199997,66.08438
2016-02-18,103.470001,65.50196
2016-02-19,104.57,64.24696
2016-02-22,107.160004,64.90538
2016-02-23,105.459999,66.97722
2016-02-24,106.879997,65.0894
2016-02-25,108.07,65.677925
2016-02-26,107.919998,67.55244
2016-02-29,106.919998,65.898254
2016-03-01,109.82,69.409935
2016-03-02,109.949997,71.34711
2016-03-03,109.580002,75.26962
2016-03-04,108.389999,72.32066
2016-03-07,105.730003,66.66309
2016-03-08,105.93,68.90156
2016-03-09,107.510002,73.99611
2016-03-10,107.32,70.8134
2016-03-11,109.410004,76.3668
2016-03-14,109.889999,79.808266
2016-03-15,110.669998,79.53178
2016-03-16,112.18,75.028305
2016-03-17,111.019997,76.4391
2016-03-18,111.449997,68.235344
2016-03-21,111.849998,82.72281
2016-03-22,112.25,81.669586
2016-03-23,112.540001,81.46294
2016-03-24,113.050003,82.5755
2016-03-28,113.690002,78.63365
2016-03-29,116.139999,73.194275
2016-03-30,114.699997,71.54811
2016-03-31,114.099998,80.61101
2016-04-01,116.059998,78.10979
2016-04-04,112.550003,67.989655
2016-04-05,112.220001,76.501755
2016-04-06,113.709999,80.14183
2016-04-07,113.639999,78.5271
2016-04-08,110.629997,68.28656
2016-04-11,108.989998,65.4599
2016-04-12,110.610001,73.871925
2016-04-13,110.510002,93.63364
2016-04-14,110.839996,73.78443
2016-04-15,109.639999,79.83722
2016-04-18,110.449997,79.84862
2016-04-19,112.290001,73.013275
2016-04-20,112.419998,80.77727
2016-04-21,113.440002,81.01142
2016-04-22,110.559998,68.17828
2016-04-25,110.099998,79.839554
2016-04-26,108.760002,78.571945
2016-04-27,108.889999,68.52657
2016-04-28,116.730003,96.26422
2016-04-29,117.580002,68.609215
2016-05-02,118.57,75.45322
2016-05-03,117.43,77.93277
2016-05-04,118.059998,77.84915
2016-05-05,117.809998,79.79071
2016-05-06,119.489998,76.66615
2016-05-09,119.239998,82.38998
2016-05-10,120.5,81.3363
2016-05-11,119.519997,81.577774
2016-05-12,120.279999,81.680626
2016-05-13,119.809998,85.153305
2016-05-16,118.669998,72.88309
2016-05-17,117.349998,80.71824
2016-05-18,117.650002,79.656204
2016-05-19,116.809998,80.43694
2016-05-20,117.349998,83.29314
2016-05-23,115.970001,81.06264
2016-05-24,117.699997,82.71741
2016-05-25,117.889999,83.99457
2016-05-26,119.470001,86.14487
2016-05-27,119.379997,92.3837
2016-05-31,118.809998,80.481415
2016-06-01,118.779999,89.32677
2016-06-02,118.93,91.99101
2016-06-03,118.470001,90.84697
2016-06-06,118.790001,92.03504
2016-06-07,117.760002,87.032074
2016-06-08,118.389999,89.57038
2016-06-09,118.559998,89.8566
2016-06-10,116.620003,82.08989
2016-06-13,113.949997,70.030624
2016-06-14,114.940002,78.82611
2016-06-15,114.599998,77.08078
2016-06-16,114.389999,78.12661
2016-06-17,113.019997,72.12578
