date,Actual,Predicted
2014-05-28,40.009998,37.866375
2014-05-29,40.34,39.35026
2014-05-30,40.939999,35.868446
2014-06-02,40.790001,39.82888
2014-06-03,40.290001,39.90586
2014-06-04,40.32,38.684013
2014-06-05,41.209999,36.7325
2014-06-06,41.48,38.768753
2014-06-09,41.27,41.094757
2014-06-10,41.110001,41.055397
2014-06-11,40.860001,40.09114
2014-06-12,40.580002,37.067745
2014-06-13,41.23,37.979435
2014-06-16,41.5,38.43141
2014-06-17,41.68,38.972317
2014-06-18,41.650002,38.130814
2014-06-19,41.509998,39.882282
2014-06-20,41.68,33.809097
2014-06-23,41.990002,40.035995
2014-06-24,41.75,37.959553
2014-06-25,42.029999,39.63749
2014-06-26,41.720001,38.776703
2014-06-27,42.25,35.865025
2014-06-30,41.700001,37.079803
2014-07-01,41.869999,38.02546
2014-07-02,41.900002,39.68761
2014-07-03,41.799999,40.90314
2014-07-07,41.990002,39.229614
2014-07-08,41.779999,36.844944
2014-07-09,41.669998,40.028973
2014-07-10,41.689999,39.056732
2014-07-11,42.09,38.586876
2014-07-14,42.139999,39.210514
2014-07-15,42.450001,37.516525
2014-07-16,44.080002,34.964867
2014-07-17,44.529999,34.97828
2014-07-18,44.689999,33.959217
2014-07-21,44.84,35.229507
2014-07-22,44.830002,34.03777
2014-07-23,44.869999,33.747364
2014-07-24,44.400002,37.091457
2014-07-25,44.5,37.861378
2014-07-28,43.970001,37.202347
2014-07-29,43.889999,37.5121
2014-07-30,43.580002,36.529243
2014-07-31,43.16,35.901306
2014-08-01,42.860001,35.94935
2014-08-04,43.369999,35.52273
2014-08-05,43.080002,37.099106
2014-08-06,42.740002,37.577984
2014-08-07,43.23,36.08474
2014-08-08,43.200001,36.685493
2014-08-11,43.200001,38.969093
2014-08-12,43.52,38.69844
2014-08-13,44.080002,38.576992
2014-08-14,44.27,39.54882
2014-08-15,44.790001,34.105553
2014-08-18,45.110001,37.84553
2014-08-19,45.330002,37.626434
2014-08-20,44.950001,38.532005
2014-08-21,45.220001,39.16585
2014-08-22,45.150002,40.13625
2014-08-25,45.169998,40.719517
2014-08-26,45.009998,41.527306
2014-08-27,44.869999,39.469025
2014-08-28,44.880001,40.38342
2014-08-29,45.43,39.394268
2014-09-02,45.09,39.05144
2014-09-03,44.959999,36.46805
2014-09-04,45.259998,38.13201
2014-09-05,45.91,35.744034
2014-09-08,46.470001,33.50348
2014-09-09,46.759998,34.597286
2014-09-10,46.84,37.84581
2014-09-11,47.0,37.40639
2014-09-12,46.700001,35.10282
2014-09-15,46.240002,35.14892
2014-09-16,46.759998,37.746277
2014-09-17,46.52,35.29283
2014-09-18,46.68,36.09368
2014-09-19,47.52,65.71883
2014-09-22,47.060001,34.933052
2014-09-23,46.560001,35.974884
2014-09-24,47.080002,37.922195
2014-09-25,46.040001,35.868862
2014-09-26,46.41,37.510727
2014-09-29,46.439999,37.584835
2014-09-30,46.360001,35.833374
2014-10-01,45.900002,34.393677
2014-10-02,45.759998,37.560642
2014-10-03,46.09,36.144054
2014-10-06,46.09,38.843613
2014-10-07,45.529999,37.199883
2014-10-08,46.779999,35.943146
2014-10-09,45.849998,34.88343
2014-10-10,44.029999,30.344963
2014-10-13,43.650002,33.215004
2014-10-14,43.73,33.21357
2014-10-15,43.220001,28.332998
2014-10-16,42.740002,30.2403
2014-10-17,43.630001,32.780304
2014-10-20,44.080002,34.791245
2014-10-21,44.880001,34.882263
2014-10-22,44.380001,35.26471
2014-10-23,45.02,32.72556
2014-10-24,46.130001,32.2837
2014-10-27,45.91,36.46025
2014-10-28,46.490002,37.140053
2014-10-29,46.619999,36.720284
2014-10-30,46.049999,36.972046
2014-10-31,46.950001,35.79405
2014-11-03,47.439999,38.755898
2014-11-04,47.57,39.052162
2014-11-05,47.860001,39.0149
2014-11-06,48.700001,36.586357
2014-11-07,48.68,37.8641
2014-11-10,48.889999,35.949135
2014-11-11,48.869999,39.020473
2014-11-12,48.779999,39.164352
2014-11-13,49.610001,38.249077
2014-11-14,49.580002,37.605606
2014-11-17,49.459999,37.239647
2014-11-18,48.740002,38.87497
2014-11-19,48.220001,38.342644
2014-11-20,48.700001,39.52102
2014-11-21,47.98,34.60983
2014-11-24,47.59,36.46215
2014-11-25,47.470001,38.267094
2014-11-26,47.75,38.53719
2014-11-28,47.810001,39.692665
2014-12-01,48.619999,37.532913
2014-12-02,48.459999,39.08384
2014-12-03,48.080002,39.7278
2014-12-04,48.84,38.080727
2014-12-05,48.419998,38.886833
2014-12-08,47.700001,38.69206
2014-12-09,47.59,39.094437
2014-12-10,46.900002,37.0318
2014-12-11,47.169998,37.262756
2014-12-12,46.950001,35.651054
2014-12-15,46.669998,36.83512
2014-12-16,45.16,31.948961
2014-12-17,45.740002,35.792557
2014-12-18,47.52,35.205482
2014-12-19,47.66,33.28966
2014-12-22,47.98,38.639885
2014-12-23,48.450001,39.39933
2014-12-24,48.139999,43.760666
2014-12-26,47.880001,43.11669
2014-12-29,47.450001,42.593296
2014-12-30,47.02,41.68692
2014-12-31,46.450001,39.283974
2015-01-02,46.759998,37.77987
2015-01-05,46.330002,34.427845
2015-01-06,45.650002,34.948196
2015-01-07,46.23,37.091488
2015-01-08,47.59,37.463898
2015-01-09,47.189999,38.65306
2015-01-12,46.599998,38.383045
2015-01-13,46.360001,35.45553
2015-01-14,45.959999,36.58441
2015-01-15,45.48,35.62967
2015-01-16,46.240002,35.28049
2015-01-20,46.389999,35.289
2015-01-21,45.919998,34.782063
2015-01-22,47.130001,36.046707
2015-01-23,47.18,38.22094
2015-01-26,47.009998,34.509235
2015-01-27,42.66,54.80777
2015-01-28,41.189999,32.627766
2015-01-29,42.009998,32.016144
2015-01-30,40.400002,31.723461
2015-02-02,41.279999,32.09852
2015-02-03,41.599998,32.20061
2015-02-04,41.84,34.457806
2015-02-05,42.450001,35.989628
2015-02-06,42.41,36.358532
2015-02-09,42.360001,36.905846
2015-02-10,42.599998,37.640053
2015-02-11,42.380001,35.623955
2015-02-12,43.09,37.150024
2015-02-13,43.869999,35.599052
2015-02-17,43.580002,37.070374
2015-02-18,43.529999,38.67663
2015-02-19,43.5,38.573597
2015-02-20,43.860001,38.27105
2015-02-23,44.150002,37.55571
2015-02-24,44.09,39.432404
2015-02-25,43.990002,38.325893
2015-02-26,44.060001,38.48868
2015-02-27,43.849998,37.34597
2015-03-02,43.880001,37.938335
2015-03-03,43.279999,37.831505
2015-03-04,43.060001,39.154724
2015-03-05,43.110001,39.801403
2015-03-06,42.360001,36.34771
2015-03-09,42.849998,37.40702
2015-03-10,42.029999,35.282715
2015-03-11,41.98,36.896736
2015-03-12,41.02,33.384525
2015-03-13,41.380001,33.01011
2015-03-16,41.560001,36.641254
2015-03-17,41.700001,37.45395
2015-03-18,42.5,34.82888
2015-03-19,42.290001,37.187607
2015-03-20,42.880001,36.050728
2015-03-23,42.860001,39.112144
2015-03-24,42.900002,39.16976
2015-03-25,41.459999,34.48947
2015-03-26,41.209999,35.82866
2015-03-27,40.970001,36.706627
2015-03-30,40.959999,36.809174
2015-03-31,40.66,36.6242
2015-04-01,40.720001,36.244446
2015-04-02,40.290001,36.221146
2015-04-06,41.549999,35.89026
2015-04-07,41.529999,38.308746
2015-04-08,41.419998,39.440964
2015-04-09,41.48,39.372795
2015-04-10,41.720001,38.96353
2015-04-13,41.759998,38.199173
2015-04-14,41.650002,39.709274
2015-04-15,42.259998,39.124302
2015-04-16,42.16,40.305367
2015-04-17,41.619999,35.264446
2015-04-20,42.91,34.580097
2015-04-21,42.639999,39.360806
2015-04-22,42.990002,39.720573
2015-04-23,43.34,34.689938
2015-04-24,47.869999,45.976448
2015-04-27,48.029999,34.873405
2015-04-28,49.16,35.49871
2015-04-29,49.060001,33.97535
2015-04-30,48.639999,34.51459
2015-05-01,48.66,36.207916
2015-05-04,48.240002,37.42002
2015-05-05,47.599998,33.367004
2015-05-06,46.279999,33.12932
2015-05-07,46.700001,37.287415
2015-05-08,47.75,37.145813
2015-05-11,47.369999,39.53589
2015-05-12,47.349998,38.234383
2015-05-13,47.630001,37.20321
2015-05-14,48.720001,37.74854
2015-05-15,48.299999,38.858574
2015-05-18,48.009998,39.949356
2015-05-19,47.580002,38.88347
2015-05-20,47.580002,39.708885
2015-05-21,47.419998,40.481613
2015-05-22,46.900002,39.66339
2015-05-26,46.59,38.349564
2015-05-27,47.610001,39.112034
2015-05-28,47.450001,41.135353
2015-05-29,46.860001,36.736523
2015-06-01,47.23,38.70903
2015-06-02,46.919998,40.417076
2015-06-03,46.849998,38.981575
2015-06-04,46.360001,38.798424
2015-06-05,46.139999,39.383392
2015-06-08,45.73,39.95905
2015-06-09,45.650002,39.50762
2015-06-10,46.610001,38.874474
2015-06-11,46.439999,39.22828
2015-06-12,45.970001,39.814392
2015-06-15,45.48,37.34576
2015-06-16,45.830002,38.97139
2015-06-17,45.970001,38.63685
2015-06-18,46.720001,37.984524
2015-06-19,46.099998,34.94674
