date,Actual,Predicted
2014-05-28,109.910004,82.073395
2014-05-29,111.489998,82.28233
2014-05-30,113.110001,82.8589
2014-06-02,113.949997,85.006004
2014-06-03,114.919998,84.85773
2014-06-04,114.480003,84.32001
2014-06-05,114.589996,84.450836
2014-06-06,115.150002,84.552185
2014-06-09,115.07,85.55395
2014-06-10,113.870003,83.87344
2014-06-11,114.059998,85.05377
2014-06-12,114.260002,84.83067
2014-06-13,114.239998,85.46129
2014-06-16,114.480003,85.0609
2014-06-17,114.709999,85.46141
2014-06-18,116.050003,85.1414
2014-06-19,117.75,87.45834
2014-06-20,118.220001,86.43969
2014-06-23,117.220001,87.12555
2014-06-24,116.550003,87.232086
2014-06-25,117.470001,87.59589
2014-06-26,117.650002,88.16758
2014-06-27,118.839996,87.45047
2014-06-30,119.660004,87.20271
2014-07-01,122.260002,88.70164
2014-07-02,121.879997,90.92355
2014-07-03,121.730003,90.94414
2014-07-07,121.160004,89.214775
2014-07-08,120.300003,88.56691
2014-07-09,120.040001,88.493286
2014-07-10,118.050003,85.82147
2014-07-11,118.519997,87.13403
2014-07-14,119.0,89.478516
2014-07-15,118.709999,88.94528
2014-07-16,119.150002,89.41943
2014-07-17,118.379997,88.14714
2014-07-18,118.900002,88.69331
2014-07-21,118.660004,89.423416
2014-07-22,119.18,90.07213
2014-07-23,119.43,89.64641
2014-07-24,119.379997,89.9229
2014-07-25,119.629997,90.16727
2014-07-28,120.580002,90.229416
2014-07-29,120.580002,88.24045
2014-07-30,120.040001,88.470856
2014-07-31,117.989998,87.311905
2014-08-01,117.589996,87.63614
2014-08-04,118.120003,88.91204
2014-08-05,119.029999,87.11822
2014-08-06,116.610001,84.83719
2014-08-07,116.68,86.60423
2014-08-08,117.629997,86.65747
2014-08-11,116.760002,86.340256
2014-08-12,117.239998,86.88037
2014-08-13,117.93,87.76503
2014-08-14,117.739998,87.971985
2014-08-15,116.889999,86.934265
2014-08-18,117.209999,87.93231
2014-08-19,116.949997,86.965546
2014-08-20,115.699997,85.18486
2014-08-21,115.779999,85.66773
2014-08-22,114.089996,83.535675
2014-08-25,114.870003,85.209885
2014-08-26,115.080002,85.35864
2014-08-27,114.910004,85.08389
2014-08-28,114.43,84.67749
2014-08-29,114.32,85.66469
2014-09-02,116.199997,85.556
2014-09-03,115.959999,85.99836
2014-09-04,116.050003,85.11765
2014-09-05,116.389999,87.22681
2014-09-08,116.040001,86.331665
2014-09-09,115.019997,84.79756
2014-09-10,116.489998,85.33981
2014-09-11,116.370003,86.9861
2014-09-12,117.110001,87.05223
2014-09-15,117.160004,87.67349
2014-09-16,117.589996,86.433464
2014-09-17,117.349998,86.872116
2014-09-18,119.43,87.38106
2014-09-19,118.760002,88.080734
2014-09-22,119.010002,86.950836
2014-09-23,118.25,87.07192
2014-09-24,118.849998,87.47155
2014-09-25,117.870003,86.41194
2014-09-26,118.650002,87.7334
2014-09-29,117.519997,86.37155
2014-09-30,117.529999,85.52485
2014-10-01,116.650002,86.76135
2014-10-02,114.480003,83.66835
2014-10-03,116.160004,85.75402
2014-10-06,116.699997,85.78096
2014-10-07,115.82,85.061066
2014-10-08,116.260002,84.390594
2014-10-09,114.519997,84.32236
2014-10-10,113.970001,83.14978
2014-10-13,112.669998,82.4429
2014-10-14,111.620003,84.85425
2014-10-15,110.059998,81.9571
2014-10-16,110.18,79.7785
2014-10-17,109.790001,79.71686
2014-10-20,113.309998,82.661896
2014-10-21,113.349998,83.9697
2014-10-22,112.269997,82.54684
2014-10-23,113.410004,83.14453
2014-10-24,114.510002,84.63222
2014-10-27,114.339996,85.777725
2014-10-28,115.099998,84.44375
2014-10-29,115.809998,86.37143
2014-10-30,115.860001,86.66393
2014-10-31,121.349998,98.09639
2014-11-03,122.0,91.35088
2014-11-04,119.400002,87.23799
2014-11-05,121.370003,88.70279
2014-11-06,119.830002,87.41466
2014-11-07,118.669998,86.8685
2014-11-10,117.970001,86.28017
2014-11-11,119.139999,86.80192
2014-11-12,118.790001,88.325714
2014-11-13,119.82,88.93266
2014-11-14,119.82,89.583466
2014-11-17,118.589996,87.432755
