date,Actual,Predicted
2014-05-28,26.235001,20.60448
2014-05-29,26.34,20.811102
2014-05-30,26.26,20.816929
2014-06-02,26.549999,20.819036
2014-06-03,26.299999,20.549768
2014-06-04,25.915001,20.412363
2014-06-05,26.5,20.716846
2014-06-06,26.559999,20.874063
2014-06-09,26.370001,20.744905
2014-06-10,26.045,20.500284
2014-06-11,26.115,20.669462
2014-06-12,26.295,20.781673
2014-06-13,26.165001,20.683104
2014-06-16,26.084999,20.58093
2014-06-17,26.25,20.537329
2014-06-18,26.375,20.726885
2014-06-19,26.5,20.828323
2014-06-20,26.445,20.802914
2014-06-23,26.2875,20.659866
2014-06-24,26.035,20.552786
2014-06-25,26.135,20.497824
2014-06-26,25.7675,19.951601
2014-06-27,25.950001,20.23541
2014-06-30,25.924999,20.234549
2014-07-01,26.02,20.386896
2014-07-02,26.355,20.518988
2014-07-03,26.155001,20.35184
2014-07-07,25.540001,20.066046
2014-07-08,25.120001,19.80242
2014-07-09,25.025,19.455761
2014-07-10,24.9375,19.415117
2014-07-11,25.0,19.354921
2014-07-14,25.219,19.782995
2014-07-15,25.3225,19.881819
2014-07-16,25.577,20.054781
2014-07-17,24.754999,19.589298
2014-07-18,24.844999,19.467066
2014-07-21,24.465,19.123291
2014-07-22,24.434999,19.169355
2014-07-23,24.495001,19.26481
2014-07-24,24.424999,19.114588
2014-07-25,24.129999,18.929533
2014-07-28,23.5275,18.47169
2014-07-29,23.559999,18.453005
2014-07-30,23.372999,18.295685
2014-07-31,23.145,18.192223
2014-08-01,22.950001,18.037062
2014-08-04,23.264999,18.21861
2014-08-05,22.3675,17.504364
2014-08-06,22.4375,17.485386
2014-08-07,22.1245,17.58406
2014-08-08,22.299999,17.344793
2014-08-11,22.559999,17.537544
2014-08-12,22.325001,17.570887
2014-08-13,22.575001,17.807058
2014-08-14,22.5,17.81911
2014-08-15,22.42,17.70674
2014-08-18,22.477501,17.764568
2014-08-19,22.785,17.922655
2014-08-20,22.674999,17.933487
2014-08-21,22.959999,18.061531
2014-08-22,22.77,17.972895
2014-08-25,22.85,17.933907
2014-08-26,22.91,18.040785
2014-08-27,22.93,18.102137
2014-08-28,22.68,17.804432
2014-08-29,22.485001,17.746944
2014-09-02,22.495001,17.7935
2014-09-03,22.725,17.92796
2014-09-04,22.915001,17.882942
2014-09-05,23.264999,18.207985
2014-09-08,23.01,18.057047
2014-09-09,22.709999,17.904942
2014-09-10,22.575001,17.731798
2014-09-11,22.594999,17.728163
2014-09-12,22.522499,17.658815
2014-09-15,22.475,17.72434
2014-09-16,22.719999,17.639843
2014-09-17,22.280001,17.36944
2014-09-18,22.440001,17.395231
2014-09-19,22.275,17.35095
2014-09-22,22.120001,17.31476
2014-09-23,21.674999,16.928165
2014-09-24,21.5625,16.732899
2014-09-25,21.07,16.313036
2014-09-26,21.125,16.560621
2014-09-29,20.8225,16.3111
2014-09-30,20.641001,16.17064
2014-10-01,20.075001,15.850484
2014-10-02,19.91,15.495491
2014-10-03,19.725,15.545223
2014-10-06,19.7225,15.658942
2014-10-07,19.735001,15.695878
2014-10-08,20.014999,15.706072
2014-10-09,19.455,15.667065
2014-10-10,18.924999,15.318387
2014-10-13,19.305,15.449475
2014-10-14,19.620001,15.503888
2014-10-15,19.3825,15.334617
2014-10-16,19.725,15.617038
2014-10-17,20.57,16.157213
2014-10-20,20.192499,15.956211
2014-10-21,20.434999,16.203499
2014-10-22,20.24,16.22448
2014-10-23,20.635,16.29159
2014-10-24,20.540001,16.317554
2014-10-27,20.370001,16.212019
2014-10-28,20.73,16.463774
2014-10-29,20.567499,16.508368
2014-10-30,20.99,16.543657
2014-10-31,21.295,16.74673
2014-11-03,21.370001,16.85425
2014-11-04,21.272499,16.651285
2014-11-05,21.575001,16.942606
2014-11-06,21.434999,16.91214
2014-11-07,21.165001,16.721382
2014-11-10,21.285,16.681978
2014-11-11,21.23,16.866455
2014-11-12,20.940001,16.71748
2014-11-13,20.8675,16.591562
2014-11-14,21.004999,16.710947
2014-11-17,21.09,16.789837
2014-11-18,21.785,17.242188
2014-11-19,21.76,17.21296
2014-11-20,21.745001,17.220982
2014-11-21,21.764,17.245174
2014-11-24,22.247499,17.470419
2014-11-25,22.6045,17.673195
2014-11-26,22.584999,17.599476
2014-11-28,22.613001,17.930334
2014-12-01,22.764999,17.828459
2014-12-02,22.469999,17.73139
2014-12-03,22.32,17.546137
2014-12-04,22.275,17.571556
2014-12-05,22.795,17.661655
2014-12-08,22.4575,17.446104
2014-12-09,22.525,17.533754
2014-12-10,22.23,17.495842
2014-12-11,22.405001,17.492178
2014-12-12,22.077499,17.486734
2014-12-15,21.264999,17.08628
2014-12-16,21.82,17.08897
